price,vat_included,year,mileage,location,url,make,name,supplier,VehicleType
650000,,2012,,Старая Русса,https://auto.ru/trailer/used/sale/maz/polupricep_bortovoy/16268084-8192d937/,MAZ,МАЗ Полуприцеп тентованный,,ST_CURTAIN_ONBOARD
990000,,2002,,Воронеж,https://auto.ru/trailer/used/sale/chereau/csd3/16669681-440827d2/,CHEREAU,Chereau CSD3,,ST_REFRIGERATOR
4000000,,2015,,Канск,https://auto.ru/trailer/used/sale/krone/krone/16660154-342154e3/,KRONE,Krone Krone,,ST_REFRIGERATOR
2000000,,2006,,Нижний Новгород,https://auto.ru/trailer/used/sale/schmitz_cargobull/sko/16668024-6f379f7c/,SCHMITZ_CARGOBULL,Schmitz Cargobull SKO,,ST_REFRIGERATOR
2350000,,2018,80,Тула,https://auto.ru/trailer/used/sale/schmitz_cargobull/scb/16659396-4acbb5b8/,SCHMITZ_CARGOBULL,Schmitz Cargobull SCB,,ST_CURTAIN
250000,,2012,200000,Мытищи,https://auto.ru/trailer/used/sale/maz/polupricepbortovoy/16580070-ac1eac93/,MAZ,МАЗ Полуприцеп бортовой,,ST_ONBOARD
270000,,2007,200000,Полтавская,https://auto.ru/trailer/used/sale/maz/polupricepbortovoy/16619222-db10445e/,MAZ,МАЗ Полуприцеп бортовой,,ST_ONBOARD
450000,,2002,,Великий Новгород,https://auto.ru/trailer/used/sale/schwarzmuller/schwarzmuller/16677562-ea9d2c63/,SCHWARZMULLER,Schwarzmuller Schwarzmuller,,ST_CURTAIN_ONBOARD
1750000,,2018,150000,Москва,https://auto.ru/trailer/used/sale/tonar/9746/16669454-cb844ff3/,TONAR,Тонар 9746,,ST_CURTAIN_ONBOARD
350000,,2012,120000,Красноярск,https://auto.ru/trailer/used/sale/maz/pricep_bortovoy/16672736-06168789/,MAZ,МАЗ Прицеп бортовой,,ST_ONBOARD
2180000,,2010,999999,Саранск,https://auto.ru/trailer/used/sale/krone/sd/16621006-08405677/,KRONE,Krone SD,,ST_REFRIGERATOR
950000,,2010,,Самара,https://auto.ru/trailer/used/sale/krone/krone/16592030-e036864d/,KRONE,Krone Krone,,ST_CURTAIN
200000,,2002,,Нижний Новгород,https://auto.ru/trailer/used/sale/szap/9328/16059194-8edd1f02/,SZAP,СЗАП 9328,,ST_CURTAIN
175000,,2002,150000,Архангельск,https://auto.ru/trailer/used/sale/m_g/ffc20y/15871809-4cb6bb09/,M_G,M&G FFC20Y,,ST_CURTAIN
250000,,2008,150000,Волгоград,https://auto.ru/trailer/used/sale/nefaz/polupricep_bortovoy/16176022-e17220d2/,NEFAZ,НефАЗ П/п бортовой,,ST_ONBOARD
1300000,,2004,,Москва,https://auto.ru/trailer/used/sale/krone/sdr_27/16661528-3b97c252/,KRONE,Krone SDR 27,,ST_REFRIGERATOR
520000,,2016,,Усть-Кут,https://auto.ru/trailer/used/sale/maz/polupricepbortovoy/16616450-fbb0f27d/,MAZ,МАЗ Полуприцеп бортовой,,ST_ONBOARD
1320000,,2011,,Ульяновск,https://auto.ru/trailer/used/sale/krone/profi_liner/15779398-875a8527/,KRONE,Krone Profi Liner,,ST_CURTAIN
190000,,2004,100000,Екатеринбург,https://auto.ru/trailer/used/sale/nefaz/pricep_bortovoy/16407658-7c79f7c2/,NEFAZ,НефАЗ прицеп бортовой,,ST_ONBOARD
1450000,,2007,,Казань,https://auto.ru/trailer/used/sale/leci_trailer/3e20/16627602-1ce4059d/,LECI_TRAILER,Leci Trailer 3E20,,ST_REFRIGERATOR
2700000,,2012,,Пятигорск,https://auto.ru/trailer/used/sale/krone/coil_liner/16377964-f9035e2d/,KRONE,Krone Coil Liner,,ST_REFRIGERATOR
520000,,2003,650000,Сергиев Посад,https://auto.ru/trailer/used/sale/krone/sdp_27/16673094-6771be80/,KRONE,Krone SDP 27,,ST_ONBOARD
1050000,,2004,,Невинномысск,https://auto.ru/trailer/used/sale/grayadams/ga3b_3/16215352-401916a9/,GRAYADAMS,Gray&Adams GA3B/3,,ST_REFRIGERATOR
2250000,,2008,,Смоленск,https://auto.ru/trailer/used/sale/schmitz_cargobull/sko/16673454-7d475f6f/,SCHMITZ_CARGOBULL,Schmitz Cargobull SKO,,ST_REFRIGERATOR
745000,,2008,860000,Коркино,https://auto.ru/trailer/used/sale/krone/sdp_27/16573394-403fad54/,KRONE,Krone SDP 27,,ST_CURTAIN
1880000,,2017,,Железногорск,https://auto.ru/trailer/used/sale/krone/sd/16671450-0c8c62ff/,KRONE,Krone SD,,ST_CURTAIN
1700000,,2006,,Курск,https://auto.ru/trailer/used/sale/schwarzmuller/schwarzmuller/16411944-d5678fa7/,SCHWARZMULLER,Schwarzmuller Schwarzmuller,,ST_REFRIGERATOR
950000,,2004,500000,Москва,https://auto.ru/trailer/used/sale/grayadams/ga3b_3/16122688-a901381c/,GRAYADAMS,Gray&Adams GA3B/3,,ST_REFRIGERATOR
650000,,2006,,Дюртюли,https://auto.ru/trailer/used/sale/schmitz_cargobull/s01/16526042-94e93a06/,SCHMITZ_CARGOBULL,Schmitz Cargobull S01,,ST_CURTAIN
500000,,2001,300000,Уфа,https://auto.ru/trailer/used/sale/montracon/tentovannie_polupricepi/16658468-724a4f88/,MONTRACON,Montracon Тентованные полуприцепы,,ST_CURTAIN
900000,,2007,,Санкт-Петербург,https://auto.ru/trailer/used/sale/krone/sd/16664982-5bad6f67/,KRONE,Krone SD,,ST_ONBOARD
150000,,2006,,Рязань,https://auto.ru/trailer/used/sale/nefaz/polupricep_bortovoy/16470960-860db6bd/,NEFAZ,НефАЗ П/п бортовой,,ST_ONBOARD
1200000,,2012,500000,Владимир,https://auto.ru/trailer/used/sale/kogel/sn24/16593592-f5a39ebb/,KOGEL,Kogel SN24,,ST_CURTAIN_ONBOARD
1290000,,2012,,Ермолино,https://auto.ru/trailer/used/sale/krone/sd/16656654-74de8da0/,KRONE,Krone SD,,ST_CURTAIN
400000,,2005,300000,Самара,https://auto.ru/trailer/used/sale/tonar/9746/16648180-da5ca14b/,TONAR,Тонар 9746,,ST_ONBOARD
700000,,2006,600000,Смоленск,https://auto.ru/trailer/used/sale/krone/sdp_27/16343884-9d05560a/,KRONE,Krone SDP 27,,ST_ONBOARD
500000,,2004,1000000,Сиговка,https://auto.ru/trailer/used/sale/schwarzmuller/schwarzmuller/16650538-f23916f6/,SCHWARZMULLER,Schwarzmuller Schwarzmuller,,ST_CURTAIN
2050000,,2007,,Смоленск,https://auto.ru/trailer/used/sale/schmitz_cargobull/sko/16673918-679964a9/,SCHMITZ_CARGOBULL,Schmitz Cargobull SKO,,ST_REFRIGERATOR
1250000,,2004,,Воронеж,https://auto.ru/trailer/used/sale/krone/sd/16396340-6248846c/,KRONE,Krone SD,,ST_REFRIGERATOR
2250000,,2010,,Орёл,https://auto.ru/trailer/used/sale/schmitz_cargobull/sko/16579476-4176a102/,SCHMITZ_CARGOBULL,Schmitz Cargobull SKO,,ST_REFRIGERATOR
1390000,,2015,500,Москва,https://auto.ru/trailer/used/sale/schmitz_cargobull/scs/16409788-12595380/,SCHMITZ_CARGOBULL,Schmitz Cargobull SCS,,ST_CURTAIN
1000000,,2006,,Нижний Новгород,https://auto.ru/trailer/used/sale/grayadams/ga3s_1/16589368-1307dde7/,GRAYADAMS,Gray&Adams GA3S/1,,ST_REFRIGERATOR
890000,,2001,,Екатеринбург,https://auto.ru/trailer/used/sale/grayadams/ga3fl_7/16676120-29743144/,GRAYADAMS,Gray&Adams GA3FL/7,,ST_REFRIGERATOR
1880000,,2011,600000,Смоленск,https://auto.ru/trailer/used/sale/krone/krone/15648260-fd8bcc3e/,KRONE,Krone Krone,,ST_REFRIGERATOR
1150000,,2012,,Кронштадт,https://auto.ru/trailer/used/sale/kogel/s24/16667712-a914e089/,KOGEL,Kogel S24,,ST_CURTAIN_ONBOARD
450000,,2003,900000,Псков,https://auto.ru/trailer/used/sale/krone/sdp_27/15463611-8537fab0/,KRONE,Krone SDP 27,,ST_ONBOARD
780000,,2016,,Набережные Челны,https://auto.ru/trailer/used/sale/nefaz/polupricep_bortovoy/16267316-3f0e14bb/,NEFAZ,НефАЗ П/п бортовой,,ST_ONBOARD
650000,,2007,1,Нижний Новгород,https://auto.ru/trailer/used/sale/krone/sd/16616612-9040ea59/,KRONE,Krone SD,,ST_CURTAIN
850000,,2002,,Саров,https://auto.ru/trailer/used/sale/grayadams/ga3b_6/16631602-fcf8d6ef/,GRAYADAMS,Gray&Adams GA3B/6,,ST_REFRIGERATOR
1060000,,2011,400000,Москва,https://auto.ru/trailer/used/sale/krone/sdp_27/16652752-19999a0d/,KRONE,Krone SDP 27,,ST_CURTAIN
2400000,,2010,650,Пенза,https://auto.ru/trailer/used/sale/schmitz_cargobull/sko/16633546-56ce5974/,SCHMITZ_CARGOBULL,Schmitz Cargobull SKO,,ST_REFRIGERATOR
330000,,2012,250000,Полтавская,https://auto.ru/trailer/used/sale/maz/polupricep_bortovoy/16429930-b339356e/,MAZ,МАЗ Полуприцеп тентованный,,ST_CURTAIN_ONBOARD
1370000,,2013,,Челябинск,https://auto.ru/trailer/used/sale/kogel/sn24/16466976-7ae5b1a2/,KOGEL,Kogel SN24,,ST_CURTAIN
40000,,2010,,Сафоново,https://auto.ru/trailer/used/sale/daf/3/16576220-d378c244/,DAF,DAF 3,,ST_ONBOARD
760000,,2008,,Донецк,https://auto.ru/trailer/used/sale/krone/sd/16653008-28f94c44/,KRONE,Krone SD,,ST_CURTAIN
600000,,2004,500000,Великий Новгород,https://auto.ru/trailer/used/sale/krone/sdp_27/16323380-8485dbb5/,KRONE,Krone SDP 27,,ST_CURTAIN
