Site;Benefit;Make;link;Year;Supplier;VehicleType;Price 1;Price;Mileage;VATIncluded
auto.ru;17;KAMAZ;https://auto.ru/artic/used/sale/kamaz/65206/16226306-9c658a05/;2015;M7 TRUCK Набережные Челны;Truck;2165355;1850000;658216;
auto.ru;17;KAMAZ;https://auto.ru/artic/used/sale/kamaz/5490/16579338-934c5859/;2017;M7 TRUCK Казань;Truck;2403138;2050000;638727;
auto.ru;14;SCANIA;https://auto.ru/artic/used/sale/scania/p_1/16179334-8155df07/;2017;;Truck;5881038;5150000;280000;
auto.ru;43;KAMAZ;https://auto.ru/artic/used/sale/kamaz/65116/16618256-56631082/;2018;Альфа-Лизинг Россия;Truck;3092893;2150000;217883;
auto.ru;26;MAZ;https://auto.ru/artic/used/sale/maz/6425/15710421-78943c0c/;2015;;Truck;2527380;2000000;45000;
auto.ru;14;KAMAZ;https://auto.ru/artic/used/sale/kamaz/65116/16566206-20d92c1d/;2018;;Truck;3092893;2690000;90000;
auto.ru;56;MAZ;https://auto.ru/artic/used/sale/maz/5440/16631746-6f6d1d03/;2016;;Truck;1982423;1270000;500000;
auto.ru;19;KAMAZ;https://auto.ru/artic/used/sale/kamaz/5490/16502116-d93b06b4/;2015;;Truck;1611932;1350000;500000;
auto.ru;11;MAZ;https://auto.ru/artic/used/sale/maz/5440/16626496-da6dafd5/;2015;;Truck;2110421;1900000;300000;
auto.ru;11;SCANIA;https://auto.ru/artic/used/sale/scania/r_1/16561358-6d0586b3/;2015;;Truck;4051607;3650000;1259931;
auto.ru;199;MAN;https://auto.ru/artic/used/sale/man/tgs/16634188-34699834/;2018;;Truck;5993134;2000000;100000;
