Тип ТС;Марка;Модель;Год выпуска;Цена поставщика;Регион склада;URL авто;Пробег;Тип КПП;Колесная формула;Мощность двигателя;Сидений;Спальных мест;Поставщик;Наша расчетная цена;Выгода;Рекомендация;Мин. аванс;Лизинговый платеж 0% / 48 мес.;Федеральный округ;Цена с НДС;Comment;Качество верификации;Верификация
Рефрижератор;Schmitz Cargobull;SKO;2018;4500000;Смоленск;https://auto.ru/trailer/used/sale/schmitz_cargobull/sko/16570610-beacf274/;390000;;;;;;ГРИН ЛАЙН;4210000;-290000;Цена завышена - можно поторговаться;20;144000;ЦФО;;;;
Шторный;Krone;SD;2018;2350000;Дубровки;https://auto.ru/trailer/used/sale/krone/sd/16646610-4493925f/;160000;;;;;;Триера Трак;2020000;-330000;Цена завышена - можно поторговаться;30;75000;ЦФО;Цена с НДС;;;ok
Шторный;Krone;Profi Liner;2017;2257000;Набережные Челны;https://auto.ru/trailer/used/sale/krone/profi_liner/16656834-3a524b55/;400000;;;;;;M7 TRUCK Набережные Челны;1900000;-357000;Цена завышена - можно поторговаться;30;72000;ПФО;;;;
Рефрижератор;Schmitz Cargobull;SKO;2018;4100000;Набережные Челны;https://auto.ru/trailer/used/sale/schmitz_cargobull/sko/16664305-ebd79a64/;300000;;;;;;АТРАКС;4220000;120000;;10;131000;ПФО;;;;
Рефрижератор;Krone;SD;2017;4320000;Кимовск;https://auto.ru/trailer/used/sale/krone/sd/16582298-c84aafc1/;50;;;;;;Юнион КРОНЕ Кимовск;4270000;-50000;;10;138000;ЦФО;;;;
Рефрижератор;Schmitz Cargobull;SKO;2018;4990000;Москва;https://auto.ru/trailer/used/sale/schmitz_cargobull/sko/16612100-d0dd848d/;;;;;;;ClassTrucks;4360000;-630000;Цена завышена - можно поторговаться;20;160000;ЦФО;;;;
Рефрижератор;Kögel;S24;2018;4050000;Москва;https://auto.ru/trailer/used/sale/kogel/s24/16590468-70fc7637/;;;;;;;Глобал Трак Сейлс Москва;4290000;240000;Горячая цена! Срочно брать!;0;130000;ЦФО;;;;
Рефрижератор;Schmitz Cargobull;SKO;2017;4510000;Тосно;https://auto.ru/trailer/used/sale/schmitz_cargobull/sko/16575410-f1bd8515/;;;;;;;ClassTrucks;4250000;-260000;Цена завышена - можно поторговаться;20;144000;СЗФО;;;;
Бортовой;Krone;Profi Liner;2019;2850000;Нижний Новгород;https://auto.ru/trailer/used/sale/krone/profi_liner/16662420-13528d3d/;123000;;;;;;;1990000;-860000;Цена завышена - можно поторговаться;50;91000;ПФО;;;;
Рефрижератор;Schmitz Cargobull;SKO;2019;5200000;Махачкала;https://auto.ru/trailer/used/sale/schmitz_cargobull/sko/16635282-fcf7dca5/;55000;;;;;;;4440000;-760000;Цена завышена - можно поторговаться;30;166000;;;;;
Шторный;Schmitz Cargobull;SCS;2015;1500000;Серебряные Пруды;https://auto.ru/trailer/used/sale/schmitz_cargobull/scs/16676762-c8c622c1/;600000;;;;;;;1490000;-10000;;10;48000;ЦФО;;;;
Шторный;Krone;SD;2018;2600000;Москва;https://auto.ru/trailer/used/sale/krone/sd/16552674-aa7bba3d/;71000;;;;;;Группа ГРАССМАНН и ЛОМТЕВ;2020000;-580000;Цена завышена - можно поторговаться;40;83000;ЦФО;Цена с НДС;;;ok
Шторный;Meusburger;;2015;1730000;Авдон;https://auto.ru/trailer/used/sale/meusburger/tentovanniy_polupricep/16669398-31eeb253/;600000;;;;;;M7 TRUCK Уфа;1490000;-240000;Цена завышена - можно поторговаться;30;55000;ПФО;;;;
Шторный;Meusburger;;2015;1730000;Набережные Челны;https://auto.ru/trailer/used/sale/meusburger/tentovanniy_polupricep/16679394-0e122349/;600000;;;;;;M7 TRUCK Набережные Челны;1490000;-240000;Цена завышена - можно поторговаться;30;55000;ПФО;;;;
Рефрижератор;Schmitz Cargobull;SKO;2018;4820000;Москва;https://auto.ru/trailer/used/sale/schmitz_cargobull/sko/16653818-4cb2768c/;;;;;;;ClassTrucks;4360000;-460000;Цена завышена - можно поторговаться;20;154000;ЦФО;;;;
Рефрижератор;Kögel;S24;2018;4150000;Москва;https://auto.ru/trailer/used/sale/kogel/s24/16666662-77e9eab9/;;;;;;;Глобал Трак Сейлс Москва;4290000;140000;;10;133000;ЦФО;Цена с НДС;;;ok
Шторный;Meusburger;;2015;1730000;Авдон;https://auto.ru/trailer/used/sale/meusburger/tentovanniy_polupricep/16666454-15c2d53c/;600000;;;;;;M7 TRUCK Уфа;1490000;-240000;Цена завышена - можно поторговаться;30;55000;ПФО;;;;
Рефрижератор;Schmitz Cargobull;SKO;2018;4980000;Москва;https://auto.ru/trailer/used/sale/schmitz_cargobull/sko/16627724-4e17b5e8/;;;;;;;ClassTrucks;4360000;-620000;Цена завышена - можно поторговаться;20;159000;ЦФО;;;;
Шторный;Тонар;9746;2017;1200000;Ангарск;https://auto.ru/trailer/used/sale/tonar/9746/16455590-f5f30023/;300000;;;;;;;1100000;-100000;Цена завышена - можно поторговаться;20;38000;СФО;Цена с НДС;;;ok
Рефрижератор;Kögel;S24;2018;4030000;Подольск;https://auto.ru/trailer/used/sale/kogel/s24/16460794-b6725f1a/;100000;;;;;;КомТоргТранс;4190000;160000;;10;129000;ЦФО;;;;
Бортовой;Kässbohrer;Kassbohrer;2019;2150000;Пермь;https://auto.ru/trailer/used/sale/kaessbohrer/kaessbohrer/16637408-3dc7e641/;60000;;;;;;ЕвроТрак Mercedes-Benz Пермь;1870000;-280000;Цена завышена - можно поторговаться;20;69000;УФО;Цена с НДС;;;ok
Шторный;Meusburger;;2015;1730000;Новониколаевский;https://auto.ru/trailer/used/sale/meusburger/tentovanniy_polupricep/16681552-71cd2d4f/;600000;;;;;;M7 TRUCK Казань;1490000;-240000;Цена завышена - можно поторговаться;30;55000;ПФО;;;;
Шторный;Meusburger;;2015;1730000;Авдон;https://auto.ru/trailer/used/sale/meusburger/tentovanniy_polupricep/16662900-fb7646f5/;600000;;;;;;M7 TRUCK Уфа;1490000;-240000;Цена завышена - можно поторговаться;30;55000;ПФО;;;;
Рефрижератор;Krone;Cool Liner;2017;4600000;Рязань;https://auto.ru/trailer/used/sale/krone/cool_liner/16619274-c9580d67/;200000;;;;;;ООО Группа Авто;3870000;-730000;Цена завышена - можно поторговаться;30;147000;ЦФО;Цена с НДС;;;ok
Шторный;Schmitz Cargobull;SCS;2018;2300000;Тула;https://auto.ru/trailer/used/sale/schmitz_cargobull/scs/16468462-bdd3f311/;;;;;;;;1980000;-320000;Цена завышена - можно поторговаться;30;74000;ЦФО;;;;
Шторный;Kässbohrer;Multimodel;2017;1850000;Новосибирск;https://auto.ru/trailer/used/sale/kaessbohrer/multimodel/16630472-546d051e/;369000;;;;;;Авторынок МАКСКАР;1820000;-30000;;10;59000;СФО;;;;
Рефрижератор;Krone;SD;2018;4700000;Санкт-Петербург;https://auto.ru/trailer/used/sale/krone/sd/16625702-c5bc714d/;154000;;;;;;Группа Милан;4140000;-560000;Цена завышена - можно поторговаться;20;150000;СЗФО;Цена с НДС;;;ok
