Mileage,VehicleType,HP,Make,VATIncluded,CabSeats,URL,Gear,Table Names,Formula,Year,Price,Model,Supplier,CabBeds,Location,Price
1000000,Truck,380,DAF,,2,https://auto.ru/artic/used/sale/daf/cf_series_1/16071818-cfdc93dd/,MT,autoru - trucks.csv,4x2,2000,550000,CF-series,,1,Новосибирск,1136464.31905
1355387,Truck,400,VOLVO,,2,https://auto.ru/artic/used/sale/volvo/fh_tractor/16511094-e77631ad/,MT,autoru - trucks.csv,4x2,2013,3000000,FH,PRO АВТО,2,Люберцы,2888378.08199
1200000,Truck,380,RENAULT,,2,https://auto.ru/artic/used/sale/renault/premium_tractor/16578668-157d7714/,MT,autoru - trucks.csv,4x2,2008,1400000,Premium,,2,Ковров,1373626.73077
750000,Truck,340,VOLVO,,2,https://auto.ru/artic/used/sale/volvo/fm_tractor/16602932-4455ccb8/,MT,autoru - trucks.csv,4x2,2007,2200000,FM,,1,Москва,1398349.18966
1047000,Truck,400,VOLVO,,2,https://auto.ru/artic/used/sale/volvo/fh_tractor/15390156-aa8d33c5/,MT,autoru - trucks.csv,6x2,2008,3000000,FH,,1,Москва,1978306.75148
1025000,Truck,460,MERCEDES,,2,https://auto.ru/artic/used/sale/mercedes/actros_t/16392948-a9b04562/,AT,autoru - trucks.csv,4x2,2008,1800000,Actros,,1,Краснодар,1858606.13398
1030000,Truck,460,DAF,,2,https://auto.ru/artic/used/sale/daf/xf105/16579034-c4d3fa5e/,MT,autoru - trucks.csv,4x2,2012,2800000,XF105,,1,Липецк,2463890.97967
1111111,Truck,469,VOLVO,,2,https://auto.ru/artic/used/sale/volvo/fh_tractor/16595056-7d6f6556/,AT,autoru - trucks.csv,4x2,2013,3150000,FH,,2,Красноярск,3081599.61891
450000,Truck,480,MAN,,2,https://auto.ru/artic/used/sale/man/tgs/16599518-673444b4/,MT,autoru - trucks.csv,6x4,2017,6900000,TGS,,1,Усть-Илимск,6162015.28686
1200000,Truck,412,RENAULT,,2,https://auto.ru/artic/used/sale/renault/premium_tractor/16361658-3533742f/,MT,autoru - trucks.csv,4x2,2001,999999,Premium,,2,Екатеринбург,810562.68861
836000,Truck,450,IVECO,,2,https://auto.ru/artic/used/sale/iveco/stralis_tractor/15963202-994236a7/,MT,autoru - trucks.csv,4x2,2011,1900000,Stralis,,2,Смоленск,1835058.76122
1281325,Truck,392,RENAULT,,2,https://auto.ru/artic/used/sale/renault/premium_tractor/16366768-4df1ab1a/,MT,autoru - trucks.csv,4x2,2000,599000,Premium,PRO АВТО,1,Люберцы,694734.93476
,Truck,480,DAF,,2,https://auto.ru/artic/used/sale/daf/xf95/16132100-a74697c2/,MT,autoru - trucks.csv,4x2,2002,1500000,95XF,,2,Киров,1628464.11398
1600000,Truck,409,MAN,,2,https://auto.ru/artic/used/sale/man/tga_1/16477024-fa295c61/,MT,autoru - trucks.csv,4x2,2002,1650000,TGA,,2,Воронеж,963125.46315
130000,Truck,380,DAF,,2,https://auto.ru/artic/used/sale/daf/xf95/16265756-7f5e15fb/,MT,autoru - trucks.csv,4x2,2000,1250000,95XF,,2,Казань,1386280.66937
800000,Truck,340,SCANIA,,2,https://auto.ru/artic/used/sale/scania/p_1/16578172-effa830d/,MT,autoru - trucks.csv,4x2,2007,1200000,P-series,,1,Тольятти,1357454.89676
1400000,Truck,380,VOLVO,,2,https://auto.ru/artic/used/sale/volvo/fm_tractor/16606612-dd3c6670/,MT,autoru - trucks.csv,4x2,2006,1200000,FM,,2,Воронеж,1704049.72269
884513,Truck,380,RENAULT,,2,https://auto.ru/artic/used/sale/renault/premium_tractor/16196568-6e576fd9/,MT,autoru - trucks.csv,4x2,2012,1600000,Premium,ББС ГРУПП,1,Мытищи,1662186.59066
1195000,Truck,440,VOLVO,,2,https://auto.ru/artic/used/sale/volvo/fh_tractor/16636746-78c82c77/,AT,autoru - trucks.csv,4x2,2008,2350000,FH,,2,Санкт-Петербург,2174131.25729
1260,Truck,430,MERCEDES,,2,https://auto.ru/artic/used/sale/mercedes/axor_t/16634476-2eb7d4e0/,MT,autoru - trucks.csv,4x2,2002,1200000,Axor,,2,Калининград,1373772.64357
837700,Truck,400,VOLVO,Цена с НДС,2,https://auto.ru/artic/used/sale/volvo/fh_tractor/16616302-bdc07000/,MT,autoru - trucks.csv,4x2,2013,3000000,FH,PRO АВТО,2,Люберцы,2888378.08199
1000000,Truck,410,MAZ,,2,https://auto.ru/artic/used/sale/maz/6430/16239064-455c582c/,MT,autoru - trucks.csv,6x4,2011,900000,6430,,1,Екатеринбург,1284195.39393
