Тип ТС,Марка,Модель,Год выпуска,Цена поставщика,Регион склада,URL авто,Пробег,Тип КПП,Колесная формула,Мощность двигателя,Сидений,Спальных мест,Поставщик,Наша расчетная цена,Выгода,Рекомендация,Мин. аванс,Лизинговый платеж 0% / 48 мес.,Федеральный округ,Цена с НДС,Comment,Качество верификации,Верификация
Тягач,MAN,,2017,3290000,Москва,https://spec.drom.ru/moskva/truck/truck-tractor/sedelnyj-tjagachfoton-auman-est-a-1846-amt-86689419.html,,,4x2,,,,,5050000,1760000,Горячая цена! Срочно брать!,0,105000.0,ЦФО,,,"0,41173",unclear
Тягач,КамАЗ,5490-S5,2018,2450000,Белово,https://spec.drom.ru/belovo/truck/truck-tractor/tjagach-sedelnyj-kamaz-5490-014-87-s5-89402600.html,,,4x2,,,,Балтийский лизинг,4210000,1760000,Горячая цена! Срочно брать!,0,78000.0,,,,"0,4573",unclear
Тягач,КамАЗ,44108,2020,3440000,Набережные Челны,https://spec.drom.ru/naberezhnye-chelny/truck/truck-tractor/kamaz-44108-53504-tjagach-tnvd-jazda-61329090.html,,,6x6,,,,,5180000,1740000,Горячая цена! Срочно брать!,0,110000.0,ПФО,,,"0,37736",unclear
Тягач,КамАЗ,44108,2020,3450000,Набережные Челны,https://spec.drom.ru/naberezhnye-chelny/truck/truck-tractor/kamaz-44108-vezdehod-tjagach-evro-2-novyj-83990077.html,,,6x6,,,,АВАНТАЖ,5180000,1730000,Горячая цена! Срочно брать!,0,110000.0,ПФО,,,"0,3892",unclear
Тягач,КамАЗ,65116,2020,3320000,Набережные Челны,https://spec.drom.ru/naberezhnye-chelny/truck/truck-tractor/kamaz-65116-tjagach-dvs-280-l-s-53265109.html,,,6x4,,,,АВАНТАЖ,5040000,1720000,Горячая цена! Срочно брать!,0,106000.0,ПФО,,,"0,41043",unclear
Тягач,КамАЗ,65116,2019,3095000,Ставрополь,https://spec.drom.ru/stavropol/truck/truck-tractor/tjagach-sedelnyj-kamaz-65116-a5-b-u-s-nds-87701634.html,,,6x4,,,,,4800000,1705000,Горячая цена! Срочно брать!,0,99000.0,СКФО,,,"0,43115",unclear
Тягач,КамАЗ,44108 тягач,2020,3480000,Набережные Челны,https://spec.drom.ru/naberezhnye-chelny/truck/truck-tractor/kamaz-44108-tjagach-68971347.html,,,6x6,,,,,5180000,1700000,Горячая цена! Срочно брать!,0,111000.0,ПФО,,,"0,38249",unclear
Тягач,КамАЗ,43118 Сайгак,2020,3500000,Набережные Челны,https://spec.drom.ru/naberezhnye-chelny/truck/truck-tractor/kamaz-43118-evro-2-tjagach-72855480.html,,,6x6,,,,,5180000,1680000,Горячая цена! Срочно брать!,0,112000.0,ПФО,,,"0,37211",unclear
Тягач,КамАЗ,65225,2020,3500000,Набережные Челны,https://spec.drom.ru/naberezhnye-chelny/truck/truck-tractor/kamaz-65225-88499428.html,,,6x6,,,,,5180000,1680000,Горячая цена! Срочно брать!,0,112000.0,ПФО,,,"0,37211",unclear
Тягач,КамАЗ,65116-А4,2020,3360000,Краснодар,https://spec.drom.ru/krasnodar/truck/truck-tractor/sedelnyj-tjagach-kamaz-65116-6912-48-evro-5-73679485.html,,,6x4,,,,"ООО ""ЮГБИЗНЕСАВТО""",5040000,1680000,Горячая цена! Срочно брать!,0,108000.0,ЮФО,,,"0,44443",unclear
Тягач,КамАЗ,65225,2020,3500000,Набережные Челны,https://spec.drom.ru/naberezhnye-chelny/truck/truck-tractor/kamaz-65225-tjagach-68609434.html,,,6x6,,,,,5180000,1680000,Горячая цена! Срочно брать!,0,112000.0,ПФО,,,"0,37211",unclear
Тягач,МАЗ,,2018,2000000,Красноярск,https://spec.drom.ru/krasnoyarsk/truck/truck-tractor/sedelnyj-tjagach-maz-2018-88974550.html,,,4x4,,,,,3660000,1660000,Горячая цена! Срочно брать!,0,64000.0,СФО,,,"0,35836",unclear
Тягач,КамАЗ,53504 седельный тягач,2020,3520000,Набережные Челны,https://spec.drom.ru/naberezhnye-chelny/truck/truck-tractor/novyj-kamaz-53504-sedelnyj-tjagach-78496563.html,,,6x6,,,,,5180000,1660000,Горячая цена! Срочно брать!,0,113000.0,ПФО,,,"0,37211",unclear
Тягач,КамАЗ,53504,2020,3520000,Набережные Челны,https://spec.drom.ru/naberezhnye-chelny/truck/truck-tractor/kamaz-53504-sedelnyj-tjagach-vezdehod-6h6-84760633.html,,,6x6,,,,,5180000,1660000,Горячая цена! Срочно брать!,0,113000.0,ПФО,,,"0,37211",unclear
Тягач,КамАЗ,53504-50,2020,3530000,Набережные Челны,https://spec.drom.ru/naberezhnye-chelny/truck/truck-tractor/kamaz-53504-606030-50-severnyj-variant-75686999.html,,,6x6,,,,,5180000,1650000,Горячая цена! Срочно брать!,0,113000.0,ПФО,,,"0,37211",unclear
Тягач,КамАЗ,53504-50,2020,3530000,Набережные Челны,https://spec.drom.ru/naberezhnye-chelny/truck/truck-tractor/kamaz-53504-6030-50-severnyj-variant-75686703.html,,,6x6,,,,,5180000,1650000,Горячая цена! Срочно брать!,0,113000.0,ПФО,,,"0,37211",unclear
Тягач,КамАЗ,6460,2020,3390000,Набережные Челны,https://spec.drom.ru/naberezhnye-chelny/truck/truck-tractor/kamaz-6460-tnvd-jazda-360-l-s-novyj-52915412.html,,,6x4,,,,АВАНТАЖ,5040000,1650000,Горячая цена! Срочно брать!,0,108000.0,ПФО,,,"0,4475",unclear
Тягач,КамАЗ,53504-6031-50,2020,3530000,Набережные Челны,https://spec.drom.ru/naberezhnye-chelny/truck/truck-tractor/kamaz-53504-6031-50-75686538.html,,,6x6,,,,,5180000,1650000,Горячая цена! Срочно брать!,0,113000.0,ПФО,,,"0,37211",unclear
Тягач,КамАЗ,44108 Евро -2,2020,3550000,Набережные Челны,https://spec.drom.ru/naberezhnye-chelny/truck/truck-tractor/kamaz-44108-evro-2-novyj-bez-probega-80985368.html,,,6x6,,,,,5180000,1630000,Горячая цена! Срочно брать!,0,114000.0,ПФО,,,"0,37211",unclear
Тягач,МАЗ,6425,2016,1150000,Усть-Кут,https://auto.ru/artic/used/sale/maz/6425/16692352-1c9ea7a6/,126000.0,MT,6x6,420.0,2.0,1.0,,2760000,1610000,Горячая цена! Срочно брать!,0,,СФО,,Продам полноприводный МАЗ 6425Х9  год выпуска 2016 в хорошем техническом состоянии  V образный двигатель ЯМЗ 7511  мощьность 420 л с   евро 2  дизель  головки сплошные  колесная формула 6Х6 двухскатная 12 00R20  коробка передач ЯМЗ 239 механическая 9 ст  Топливный бак 600 л  ССУ под шкворень 3 5   кабина проварена усилена   утеплена  спальник  фен  ПЖД  ТЕН прогрева дв ля 220в  Тормозная система с АБС  Пробег 126000 км   Новая турбина  чешка   Не эксплуатировался с сентября 2019 года  Находится в Иркутская область  Усть Кутский р н  Усть Кут  2 я Таёжная ул   30А Готов к продаже  Новые АКБ  Осмотр по договоренности,"0,5363",unclear
Тягач,КамАЗ,5490-S5,2018,2600000,Белово,https://spec.drom.ru/belovo/truck/truck-tractor/sedelnyj-tjagach-kamaz-5490-014-87-s5-86655613.html,,,4x2,,,,Балтийский лизинг,4210000,1610000,Горячая цена! Срочно брать!,0,83000.0,,,,"0,45752",unclear
