Comment,Site,Benefit,Make,URL,Year,Supplier,VehicleType,Price 1,Price,Mileage,VATIncluded,Result,confidence
,drom.ru,56,KAMAZ,https://spec.drom.ru/naberezhnye-chelny/truck/truck-tractor/kamaz-44108-75232495.html,2019,,Truck,4978053,3180000,,,unclear,0.43115
,drom.ru,44,KAMAZ,https://spec.drom.ru/chelyabinsk/truck/truck-tractor/sedelnyj-tjagach-kamaz-5490-s5-2016-g-v-86714997.html,2016,,Truck,2279510,1580000,,,unclear,0.48474
,drom.ru,34,KAMAZ,https://spec.drom.ru/tomsk/truck/truck-tractor/sedelnyj-tjagach-kamaz-65116-7010-48-86830728.html,2020,РусБизнесАвто,Truck,5040171,3750000,,,unclear,0.32934
,drom.ru,39,KAMAZ,https://spec.drom.ru/miass/truck/truck-tractor/kamaz-43118-tjagach-probeg-30-tys-km-83067837.html,2017,ООО УралСпецКран,Truck,3986932,2850000,,,no_vat,0.4468
,drom.ru,35,KAMAZ,https://spec.drom.ru/moskva/truck/truck-tractor/sedelnyj-tjagach-kamaz-65116-77784066.html,2020,,Truck,5040171,3730000,,,unclear,0.32934
,drom.ru,20,MAZ,https://spec.drom.ru/ryazan/truck/truck-tractor/tjagach-86553301.html,2018,,Truck,3085797,2570000,,,unclear,0.47052
,drom.ru,16,KAMAZ,https://spec.drom.ru/moskva/truck/truck-tractor/kamaz-5490-s5-neo-gazodizel-83257069.html,2018,,Truck,4206160,3599000,,,unclear,0.3837
,drom.ru,54,KAMAZ,https://spec.drom.ru/strezhevoi/truck/truck-tractor/sedelnyj-tjagach-kamaz-44108-vezdehod-novyj-85989267.html,2020,,Truck,5176003,3350000,,,unclear,0.41799
,drom.ru,11,KAMAZ,https://spec.drom.ru/chelyabinsk/truck/truck-tractor/sedelnyj-tjagach-kamaz-5490-s5-2015-g-v-80673746.html,2015,,Truck,1870492,1680000,,,unclear,0.32642
,drom.ru,41,KAMAZ,https://spec.drom.ru/naberezhnye-chelny/truck/truck-tractor/kamaz-53504-tjagach-vezdehod-72176662.html,2020,АВАНТАЖ,Truck,5176003,3670000,,,unclear,0.37421
,drom.ru,83,MAN,https://spec.drom.ru/vladimir/truck/truck-tractor/samosval-kamaz-6520-43-s-probegom-48959-km-83742359.html,2017,,Truck,5131093,2790000,,,unclear,0.35378
,drom.ru,18,KAMAZ,https://spec.drom.ru/naberezhnye-chelny/truck/truck-tractor/kamaz-44018-70838792.html,2015,,Truck,2847182,2400000,,,unclear,0.35883
,drom.ru,40,MAZ,https://spec.drom.ru/krasnoyarsk/truck/truck-tractor/tjagach-sedelnyj-maz-probeg-148141-85584148.html,2017,,Truck,2521811,1800000,,,no_vat,0.49197
,drom.ru,113,KAMAZ,https://spec.drom.ru/kazan/truck/truck-tractor/kamaz-5490-s5-86538498.html,2017,,Truck,3162823,1480000,,,unclear,0.51177
,drom.ru,50,KAMAZ,https://spec.drom.ru/kemerovo/truck/truck-tractor/prodam-kamaz-v-otlichnom-sostojanii-87000369.html,2018,,Truck,4206160,2800000,,,unclear,0.47097
,drom.ru,19,MAN,https://spec.drom.ru/lyubertsy/truck/truck-tractor/sedelnyj-tjagach-man-tgx-18.400-4x2-bls-86465468.html,2018,,Truck,5788912,4850000,,,unclear,0.50378
,drom.ru,44,KAMAZ,https://spec.drom.ru/miass/truck/truck-tractor/sedelnyj-tjagach-kamaz-43118-6h6-spalnik-vezdehod-2017-83358636.html,2017,,Truck,3986932,2750000,,,unclear,0.47274
,drom.ru,27,KAMAZ,https://spec.drom.ru/chelyabinsk/truck/truck-tractor/kamaz-53504-v-nalichii-72705988.html,2020,,Truck,5176003,4065000,,,unclear,0.36442
,drom.ru,42,KAMAZ,https://spec.drom.ru/volgograd/truck/truck-tractor/kamaz-5490-s5-86924870.html,2019,,Truck,4487301,3138000,,,unclear,0.43821
,drom.ru,30,KAMAZ,https://spec.drom.ru/volgograd/truck/truck-tractor/kamaz-65806-t5-86924742.html,2018,,Truck,4528664,3459000,,,unclear,0.33195
,drom.ru,11,KAMAZ,https://spec.drom.ru/perm/truck/truck-tractor/sedelnyj-tjagach-kamaz-5490-s5-2015-g-v-80673975.html,2015,,Truck,1870492,1680000,,,unclear,0.32642
,drom.ru,17,KAMAZ,https://spec.drom.ru/moskva/truck/truck-tractor/kamaz-5490-s5-gazodizel-2018-85475941.html,2018,,Truck,4206160,3590000,,,unclear,0.3837
,drom.ru,28,KAMAZ,https://spec.drom.ru/chelyabinsk/truck/truck-tractor/sedelnyj-tjagach-kamaz-53504-50-vezdehod-6h6-76142375.html,2020,,Truck,5176003,4020000,,,unclear,0.35065
,drom.ru,41,MAZ,https://spec.drom.ru/krasnodar/truck/truck-tractor/tjagach-sedelnyj-maz-5440c5-8520-031-b-u-2018-g-176000-km-87031502.html,2018,TECHNIKA,Truck,3085797,2180000,,,unclear,0.49471
,drom.ru,17,MAN,https://spec.drom.ru/krasnodar/truck/truck-tractor/foton-auman-est-a-1841-65221146.html,2018,РосТехноресурс,Truck,5788912,4909000,,,unclear,0.49079
,drom.ru,33,KAMAZ,https://spec.drom.ru/penza/truck/truck-tractor/kamaz-5490-s5-sedelnyj-tjagach-b-u-2018-g-84300-km-74585560.html,2020,,Truck,4732394,3550000,,,unclear,0.31535
,drom.ru,44,KAMAZ,https://spec.drom.ru/miass/truck/truck-tractor/sedelnyj-tjagach-kamaz-43118-6h6-spalnik-83600471.html,2017,,Truck,3986932,2750000,,,unclear,0.47274
,drom.ru,128,KAMAZ,https://spec.drom.ru/naberezhnye-chelny/truck/truck-tractor/kamaz-6460-78792712.html,2019,,Truck,4800498,2100000,,,unclear,0.38344
,drom.ru,50,KAMAZ,https://spec.drom.ru/rostov-na-donu/truck/truck-tractor/kamaz-5490-022-87-tjagach-neo-58270521.html,2020,,Truck,4732394,3150000,,,unclear,0.45759
,drom.ru,37,MAN,https://spec.drom.ru/krasnoyarsk/truck/truck-tractor/tjagach-man-tgs-19.400-4x2-2015-v-nalichii-84068710.html,2015,,Truck,3850712,2800000,,,no_vat,0.49196
,drom.ru,27,KAMAZ,https://spec.drom.ru/chelyabinsk/truck/truck-tractor/kamaz-53504-belyj-sever-v-surgute-68580022.html,2020,,Truck,5176003,4065000,,,unclear,0.36442
,drom.ru,24,KAMAZ,https://spec.drom.ru/vladimir/truck/truck-tractor/sedelnyj-tjagach-kamaz-5490-s5-s-probegom-84300-km-83730679.html,2018,,Truck,4206160,3390000,,,unclear,0.40544
,drom.ru,19,KAMAZ,https://spec.drom.ru/chelyabinsk/truck/truck-tractor/kamaz-5490-neo-86671043.html,2018,,Truck,4206160,3510000,,,unclear,0.39669
,drom.ru,29,KAMAZ,https://spec.drom.ru/naberezhnye-chelny/truck/truck-tractor/sedelnyj-tjagach-kamaz-53504-50-67176159.html,2020,ООО «ТФК «КАМСКИЙ ЗАВОД»,Truck,5176003,3990000,,,unclear,0.35065
,drom.ru,32,KAMAZ,https://spec.drom.ru/muravlenko/truck/truck-tractor/prodaetsja-tjagach-sedelnyj-86215665.html,2017,,Truck,3986932,3000000,,,no_vat,0.48464
,drom.ru,50,KAMAZ,https://spec.drom.ru/novosibirsk/truck/truck-tractor/kamaz-65116-32-metan-74873600.html,2017,,Truck,3530465,2350000,,,unclear,0.57342
,drom.ru,107,MAZ,https://spec.drom.ru/krasnoyarsk/truck/truck-tractor/maz-6425-h9-430-050-84461658.html,2016,,Truck,2453298,1180000,,,unclear,0.40278
,drom.ru,133,KAMAZ,https://spec.drom.ru/naberezhnye-chelny/truck/truck-tractor/kamaz-4310-shassi-57381314.html,2020,,Truck,5176003,2220000,,,unclear,0.38344
,drom.ru,90,KAMAZ,https://spec.drom.ru/penza/truck/truck-tractor/kamaz-65206-002-68-sedelnyj-tjagach-b-u-2016-g-502553-km-72332460.html,2018,,Truck,4528664,2380000,,,unclear,0.39681
,drom.ru,44,KAMAZ,https://spec.drom.ru/miass/truck/truck-tractor/sedelnyj-tjagach-kamaz-43118-6h6-spalnik-vezdehod-2017-83220583.html,2017,,Truck,3986932,2750000,,,unclear,0.47274
,drom.ru,52,KAMAZ,https://spec.drom.ru/naberezhnye-chelny/truck/truck-tractor/novyj-kamaz-tjagach-65116-evro-2-68497468.html,2020,,Truck,5040171,3300000,,,unclear,0.42098
,drom.ru,23,KAMAZ,https://spec.drom.ru/moskva/truck/truck-tractor/kamaz-53504-6030-50-64477158.html,2020,СпецАвтоТехника,Truck,5176003,4190000,,,unclear,0.41636
,drom.ru,61,KAMAZ,https://spec.drom.ru/naberezhnye-chelny/truck/truck-tractor/kamaz-44108-tjagach-71756571.html,2020,,Truck,5176003,3200000,,,unclear,0.43115
,drom.ru,36,KAMAZ,https://spec.drom.ru/nizhnii-novgorod/truck/truck-tractor/kamaz-53504-306030-50-tjagach-evro5-belyj-sever-75016887.html,2019,Русбизнесавто,Truck,4978053,3650000,,,unclear,0.33388
,drom.ru,10,MAZ,https://spec.drom.ru/moskva/truck/truck-tractor/sedelnyj-tjagach-maz-5440s5-8520-031-motor-jamz-evro-5-kpp-zf9-81528378.html,2020,,Truck,3598730,3250000,,,unclear,0.36177
,drom.ru,22,SCANIA,https://spec.drom.ru/lyubertsy/truck/truck-tractor/scania-r440-86654142.html,2017,,Truck,5772104,4700000,,,unclear,0.46604
,drom.ru,41,KAMAZ,https://spec.drom.ru/naberezhnye-chelny/truck/truck-tractor/kamaz-6460-tjagach-evro-2-78237189.html,2020,,Truck,5040171,3555000,,,unclear,0.36022
,drom.ru,40,MAZ,https://spec.drom.ru/krasnoyarsk/truck/truck-tractor/tjagach-sedelnyj-maz-85584289.html,2017,,Truck,2521811,1800000,,,no_vat,0.49197
,drom.ru,31,KAMAZ,https://spec.drom.ru/moskva/truck/truck-tractor/kamaz-53504-606030-50-tjagach-evro5-sever-70909085.html,2020,"ООО ""Компания СИМ-авто""",Truck,5176003,3943488,,,unclear,0.31243
,drom.ru,56,KAMAZ,https://spec.drom.ru/naberezhnye-chelny/truck/truck-tractor/kamaz-43118-sedelnyj-tjagach-77316117.html,2019,,Truck,4978053,3189000,,,unclear,0.43115
,drom.ru,43,MAZ,https://spec.drom.ru/moskva/truck/truck-tractor/motor-jamz-653-renault-kpp-zf-pnevma-v-nalichii-176-000-km-86680681.html,2018,,Truck,3085797,2150000,,,unclear,0.50514
,drom.ru,36,KAMAZ,https://spec.drom.ru/perm/truck/truck-tractor/sedelnyj-tjagach-kamaz-53504-83581611.html,2020,"TECHSPECKAM, ООО",Truck,5176003,3800000,,,unclear,0.33388
,drom.ru,36,KAMAZ,https://spec.drom.ru/tomsk/truck/truck-tractor/tjagach-kamaz-772701-analog-53504-73042565.html,2020,РусБизнесАвто,Truck,5176003,3800000,,,unclear,0.33388
,drom.ru,27,MAN,https://spec.drom.ru/chelyabinsk/truck/truck-tractor/tjagach-shacman-6x4-sx4258nv324-f3000-75604652.html,2020,,Truck,6498338,5080000,,,unclear,0.40783
,drom.ru,19,MAN,https://spec.drom.ru/moskva/truck/truck-tractor/sedelnyj-tjagach-man-tgx-18.400-4x2-bls-86445844.html,2018,,Truck,5788912,4850000,,,unclear,0.50378
,drom.ru,45,KAMAZ,https://spec.drom.ru/chelyabinsk/truck/truck-tractor/v-nalichii-kamaz-65116-tjagach-sedelnyj-trehosnyj-69721161.html,2020,КАМАЗЦЕНТР-КУРГАН,Truck,5040171,3466000,,,unclear,0.37883
,drom.ru,27,KAMAZ,https://spec.drom.ru/chelyabinsk/truck/truck-tractor/sedelnyj-tjagach-kamaz-53504-6013-50-76949182.html,2020,,Truck,5176003,4065000,,,unclear,0.36442
,drom.ru,162,MAN,https://spec.drom.ru/irkutsk/truck/truck-tractor/sedelnyj-tjagach-lesovoz-84939527.html,2016,,Truck,4719261,1800000,,,unclear,0.3695
,drom.ru,27,KAMAZ,https://spec.drom.ru/moskva/truck/truck-tractor/tjagach-kamaz-53504-50-evro-5-56453036.html,2020,"ООО ""КСА""",Truck,5176003,4050000,,,unclear,0.37787
,drom.ru,38,KAMAZ,https://spec.drom.ru/penza/truck/truck-tractor/kamaz-65116-6010-48-tjagach-evro-5-72352280.html,2020,,Truck,5040171,3630000,,,unclear,0.31989
,drom.ru,33,MAN,https://spec.drom.ru/khabarovsk/truck/truck-tractor/man-tgs-33.480-86284192.html,2017,ООО ЛК Сименс Финанс,Truck,5348565,4000000,,,no_vat,0.35641
,drom.ru,46,KAMAZ,https://spec.drom.ru/perm/truck/truck-tractor/sedelnyj-tjagach-kamaz-65116-66429851.html,2018,"TECHSPECKAM, ООО",Truck,4528664,3100000,,,unclear,0.43821
,drom.ru,44,KAMAZ,https://spec.drom.ru/miass/truck/truck-tractor/sedelnyj-tjagach-kamaz-43118-6h6-spalnoe-mesto-83474682.html,2017,,Truck,3986932,2750000,,,unclear,0.47274
,drom.ru,16,MAN,https://spec.drom.ru/orenburg/truck/truck-tractor/tjagach-shacman-shakman-sx42586v324-6h4-77160200.html,2019,,Truck,6304757,5400000,,,unclear,0.48174
,drom.ru,13,KAMAZ,https://spec.drom.ru/moskva/truck/truck-tractor/kamaz-5490-neo-86839065.html,2017,,Truck,3162823,2790000,,,unclear,0.35535
,drom.ru,17,KAMAZ,https://spec.drom.ru/vladimir/truck/truck-tractor/sedelnyj-tjagach-kamaz-5490-014-87-s-probegom-93676-km-79243238.html,2017,,Truck,3162823,2690000,,,unclear,0.35535
,drom.ru,53,MAN,https://spec.drom.ru/moskva/truck/truck-tractor/sedelnyj-tjagachfoton-auman-est-a-1846-amt-86689419.html,2017,,Truck,5045977,3290000,,,unclear,0.41173
,drom.ru,12,KAMAZ,https://spec.drom.ru/ekaterinburg/truck/truck-tractor/sedelnyj-tjagach-kamaz-5490-s5-2015-g-v-80660730.html,2015,Global Truck Sales,Truck,1870492,1670000,,,unclear,0.34823
,drom.ru,25,KAMAZ,https://spec.drom.ru/moskva/truck/truck-tractor/kamaz-5490-001-68-t5-tjagach-sedelnyj-56049739.html,2020,,Truck,5644342,4500000,,,unclear,0.40974
,drom.ru,42,MERCEDES,https://spec.drom.ru/kemerovo/truck/truck-tractor/mercedes-benz-axor-1840-81431226.html,2015,,Truck,3695349,2600000,,,unclear,0.43035
,drom.ru,34,KAMAZ,https://spec.drom.ru/sankt-peterburg/truck/truck-tractor/sedelnyj-tjagach-kamaz-2016-goda-87003848.html,2016,,Truck,2279510,1690000,,,no_vat,0.47989
,drom.ru,19,MAN,https://spec.drom.ru/khabarovsk/truck/truck-tractor/sedelnyj-tjagach-man-tgs-33.480-6x4-bbs-ww-85520872.html,2015,ДМИ,Truck,4049231,3400000,,,unclear,0.35931
,drom.ru,10,MAN,https://spec.drom.ru/vladimir/truck/truck-tractor/sedelnyj-tjagach-man-tgx-18.400-s-probegom-189800-km-85294260.html,2017,,Truck,5045977,4570000,,,unclear,0.45122
,drom.ru,40,KAMAZ,https://spec.drom.ru/iskitim/truck/truck-tractor/prodam-kamaz-65116-a4-81867708.html,2016,,Truck,2662669,1900000,,,no_vat,0.43813
,drom.ru,31,KAMAZ,https://spec.drom.ru/chelyabinsk/truck/truck-tractor/kamaz-65116-7020-48-tjagach-6h4-ssu-1200-pnevmaticheskaja-podveska-85064098.html,2020,КАМАЗЦЕНТР,Truck,5040171,3833000,,,unclear,0.31636
,drom.ru,27,KAMAZ,https://spec.drom.ru/chelyabinsk/truck/truck-tractor/sedelnyj-tjagach-kamaz-53504-50-76707471.html,2020,,Truck,5176003,4065000,,,unclear,0.36442
,drom.ru,14,KAMAZ,https://spec.drom.ru/perm/truck/truck-tractor/tjagach-kamaz-6450-86102776.html,2019,ТехСпецКам,Truck,4528934,3950000,,,unclear,0.40845
,drom.ru,13,DAF,https://spec.drom.ru/irkutsk/truck/truck-tractor/prodaetsja-tjagach-daf-85662455.html,2016,,Truck,4370343,3850000,,,unclear,0.36756
,drom.ru,66,KAMAZ,https://spec.drom.ru/novosibirsk/truck/truck-tractor/prodam-scepku-79492766.html,2016,,Truck,3249251,1950000,,,unclear,0.55805
,drom.ru,20,MAZ,https://spec.drom.ru/khabarovsk/truck/truck-tractor/prodam-dva-maza-83884482.html,2018,,Truck,3843037,3200000,,,unclear,0.42118
,drom.ru,77,KAMAZ,https://spec.drom.ru/naberezhnye-chelny/truck/truck-tractor/kamaz-44108-vezdehod-tjagach-evro-2-novyj-83990077.html,2020,АВАНТАЖ,Truck,5176003,2920000,,,unclear,0.41685
,drom.ru,52,KAMAZ,https://spec.drom.ru/naberezhnye-chelny/truck/truck-tractor/kamaz-44108-vezdehod-tjagach-52009502.html,2020,,Truck,5176003,3400000,,,unclear,0.41861
,drom.ru,75,KAMAZ,https://spec.drom.ru/naberezhnye-chelny/truck/truck-tractor/kamaz-65116-novyj-66967933.html,2020,АВАНТАЖ,Truck,5040171,2880000,,,unclear,0.41685
,drom.ru,29,KAMAZ,https://spec.drom.ru/moskva/truck/truck-tractor/kamaz-65116-6010-48-a5-64935347.html,2020,СпецАвтоТехника,Truck,5040171,3900000,,,unclear,0.35065
,drom.ru,27,KAMAZ,https://spec.drom.ru/chelyabinsk/truck/truck-tractor/kamaz-tjagach-53504-6013-50-76915959.html,2020,,Truck,5176003,4065000,,,unclear,0.36442
,drom.ru,22,MAZ,https://spec.drom.ru/vladimir/truck/truck-tractor/sedelnyj-tjagach-maz-5440c9-520-031-s-probegom-127600-km-85354173.html,2018,,Truck,3073065,2500000,,,unclear,0.4675
,drom.ru,16,KAMAZ,https://spec.drom.ru/moskva/truck/truck-tractor/kamaz-5490-neo-gaz-dizel-2018-85531759.html,2018,,Truck,4206160,3599000,,,unclear,0.3837
