confidence,result,user,date,url
0.49665,unclear,auto,2020-10-26 10:51:47.925115+00:00,https://auto.ru/artic/used/sale/kamaz/53504/16420230-739b933f/
0.49665,unclear,auto,2020-10-26 10:50:37.075455+00:00,https://auto.ru/artic/used/sale/kamaz/53504/16420230-739b933f/
1.0,unclear,leshchenko,2020-08-05 11:43:47+00:00,https://auto.ru/artic/used/sale/kamaz/53504/16518954-1c9aaf66/
0.55914,unclear,auto,2020-10-26 10:50:58.917837+00:00,https://auto.ru/artic/used/sale/kamaz/53504/16583924-e5d53b62/
0.55914,unclear,auto,2020-10-26 10:51:44.113452+00:00,https://auto.ru/artic/used/sale/kamaz/53504/16583924-e5d53b62/
0.55914,unclear,auto,2020-10-26 10:51:22.125739+00:00,https://auto.ru/artic/used/sale/kamaz/53504/16583924-e5d53b62/
0.55914,unclear,auto,2020-10-26 10:50:35.329126+00:00,https://auto.ru/artic/used/sale/kamaz/53504/16583924-e5d53b62/
1.0,unclear,leshchenko,2020-06-08 12:45:05.162000+00:00,https://auto.ru/artic/used/sale/kamaz/5490/15440989-a80ac9b8/
0.44104,unclear,auto,2020-10-26 10:51:10.312349+00:00,https://auto.ru/artic/used/sale/kamaz/5490/15879403-20c535c4/
0.44104,unclear,auto,2020-10-26 10:51:36.554666+00:00,https://auto.ru/artic/used/sale/kamaz/5490/15879403-20c535c4/
1.0,no_vat,leshchenko,2020-04-11 17:14:07.890683+00:00,https://auto.ru/artic/used/sale/kamaz/5490/15879403-20c535c4/
0.44104,unclear,auto,2020-10-26 10:50:31.648848+00:00,https://auto.ru/artic/used/sale/kamaz/5490/15879403-20c535c4/
0.44104,unclear,auto,2020-10-26 10:50:56.876362+00:00,https://auto.ru/artic/used/sale/kamaz/5490/15879403-20c535c4/
1.0,ok,leshchenko,2020-04-25 05:59:53.635000+00:00,https://auto.ru/artic/used/sale/kamaz/5490/16002680-1a90bb83/
1.0,ok,leshchenko,2020-04-18 12:20:39.748000+00:00,https://auto.ru/artic/used/sale/kamaz/5490/16165750-a3f1ea50/
1.0,ok,leshchenko,2020-04-11 17:15:04.319410+00:00,https://auto.ru/artic/used/sale/kamaz/5490/16169894-a4efac21/
1.0,no_vat,leshchenko,2020-04-15 17:58:39.566000+00:00,https://auto.ru/artic/used/sale/kamaz/5490/16182854-ba289412/
1.0,unclear,leshchenko,2020-04-11 17:13:26.719492+00:00,https://auto.ru/artic/used/sale/kamaz/5490/16233300-80f5def5/
1.0,leasing,leshchenko,2020-04-11 17:13:50.164916+00:00,https://auto.ru/artic/used/sale/kamaz/5490/16247302-22b3b743/
1.0,ok,leshchenko,2020-04-15 17:50:31.623000+00:00,https://auto.ru/artic/used/sale/kamaz/5490/16250354-c1e97a9f/
1.0,ok,leshchenko,2020-04-15 17:37:10.980000+00:00,https://auto.ru/artic/used/sale/kamaz/5490/16281338-0686b69b/
1.0,unclear,leshchenko,2020-04-25 06:00:00.670000+00:00,https://auto.ru/artic/used/sale/kamaz/5490/16284332-e4deacf4/
0.38695,unclear,auto,2020-10-26 10:51:26.813133+00:00,https://auto.ru/artic/used/sale/kamaz/5490/16284530-53f641ab/
0.38695,unclear,auto,2020-10-26 10:50:52.473943+00:00,https://auto.ru/artic/used/sale/kamaz/5490/16284530-53f641ab/
0.38695,unclear,auto,2020-10-26 10:50:39.044806+00:00,https://auto.ru/artic/used/sale/kamaz/5490/16284530-53f641ab/
0.38695,unclear,auto,2020-10-26 10:51:35.884521+00:00,https://auto.ru/artic/used/sale/kamaz/5490/16284530-53f641ab/
0.38236,unclear,auto,2020-10-26 10:50:43.941343+00:00,https://auto.ru/artic/used/sale/kamaz/5490/16296706-4591b5d1/
0.38236,unclear,auto,2020-10-26 10:51:32.053487+00:00,https://auto.ru/artic/used/sale/kamaz/5490/16296706-4591b5d1/
0.38236,unclear,auto,2020-10-26 10:50:50.285591+00:00,https://auto.ru/artic/used/sale/kamaz/5490/16296706-4591b5d1/
0.38236,unclear,auto,2020-10-26 10:51:09.355195+00:00,https://auto.ru/artic/used/sale/kamaz/5490/16296706-4591b5d1/
1.0,ok,leshchenko,2020-04-11 17:13:58.320973+00:00,https://auto.ru/artic/used/sale/kamaz/5490/16302940-aa0f8738/
1.0,ok,leshchenko,2020-04-15 18:01:04+00:00,https://auto.ru/artic/used/sale/kamaz/5490/16308282-07e270e8/
1.0,ok,leshchenko,2020-04-11 17:13:17.730705+00:00,https://auto.ru/artic/used/sale/kamaz/5490/16309172-2bf0d0bc/
