Model;URL;Year;Price;Mileage;VehicleType;Make;Supplier;VATIncluded;Location
SD;https://auto.ru/trailer/used/sale/krone/sd/16719286-adbd8259/;2010;1000000;;Curtainsider;KRONE;;;Нальчик
S01;https://auto.ru/trailer/used/sale/schmitz_cargobull/s01/16456460-f707dcfa/;2004;850000;;Curtainsider;SCHMITZ CARGOBULL;;;Белгород
SKO;https://auto.ru/trailer/used/sale/schmitz_cargobull/sko/16704746-e8fa90c5/;2017;6229724;160000;Refrigerator;SCHMITZ CARGOBULL;АЙС КУБ;Цена с НДС;Солнечногорск
Profi Liner;https://auto.ru/trailer/used/sale/krone/profi_liner/16666456-5ad08c38/;2017;2178000;400000;Curtainsider;KRONE;M7 TRUCK Уфа;;
SKO;https://auto.ru/trailer/used/sale/schmitz_cargobull/sko/16306286-b148dff6/;2002;700000;500000;Refrigerator;SCHMITZ CARGOBULL;;;Чита
SD;https://auto.ru/trailer/used/sale/krone/sd/16691790-a96a7692/;2013;1280000;;Curtainsider;KRONE;BS-Truck;;Набережные Челны
FL;https://auto.ru/trailer/used/sale/kaessbohrer/fl/16704732-3dc998ae/;2018;3600000;200000;Refrigerator;KAESSBOHRER;АТРАКС;Цена с НДС;Набережные Челны
ZKO;https://auto.ru/trailer/used/sale/schmitz_cargobull/zko/16133020-b8902011/;2004;350000;750000;Refrigerator;SCHMITZ CARGOBULL;;;Почеп
;https://auto.ru/trailer/used/sale/meusburger/tentovanniy_polupricep/16724168-1e064e20/;2015;1695000;600000;Curtainsider;MEUSBURGER;M7 TRUCK Набережные Челны;;Набережные Челны
SN24;https://auto.ru/trailer/used/sale/kogel/sn24/16619740-5acfac77/;2011;1000000;780000;Curtainsider;KOGEL;;;Гусь-Хрустальный
SCS;https://auto.ru/trailer/used/sale/schmitz_cargobull/scs/16718422-f7ca7d74/;2012;1200000;900000;Curtainsider;SCHMITZ CARGOBULL;;;Красноярск
SD;https://auto.ru/trailer/used/sale/krone/sd/16704472-8ef74208/;2013;1330000;;Curtainsider;KRONE;;;Москва
SKO;https://auto.ru/trailer/used/sale/schmitz_cargobull/sko/16683500-bb5cd29a/;2004;1400000;250000;Refrigerator;SCHMITZ CARGOBULL;ГРУЗОВИК-24;;Москва
9746;https://auto.ru/trailer/used/sale/tonar/9746/16644296-c70ac7a3/;2008;385000;;Platform;TONAR;;;Улан-Удэ
SD;https://auto.ru/trailer/used/sale/krone/sd/16694504-7a6fae83/;2008;770000;;Curtainsider;KRONE;Global Truck Sales Екатеринбург;;Екатеринбург
S01;https://auto.ru/trailer/used/sale/schmitz_cargobull/s01/16699292-233ceb2a/;2007;595000;1000000;Curtainsider;SCHMITZ CARGOBULL;M7 TRUCK Казань;;Новониколаевский
SKO;https://auto.ru/trailer/used/sale/schmitz_cargobull/sko/16645510-d020498f/;2010;2780000;560000;Refrigerator;SCHMITZ CARGOBULL;АГТ-Трейдинг;;Москва
SCB;https://auto.ru/trailer/used/sale/schmitz_cargobull/scb/16722298-d813c825/;2006;850000;;Curtainsider;SCHMITZ CARGOBULL;;;Кизилюрт
SKO;https://auto.ru/trailer/used/sale/schmitz_cargobull/sko/16690802-63ce3800/;2018;4150000;350000;Refrigerator;SCHMITZ CARGOBULL;Юнион Карго;Цена с НДС;Жуковский
SD;https://auto.ru/trailer/used/sale/krone/sd/16708338-1517d5c8/;2014;1750000;;Curtainsider;KRONE;Транзит-Дон Краснодар;Цена с НДС;Краснодар
S01;https://auto.ru/trailer/used/sale/schmitz_cargobull/s01/16628662-2ede605e/;2000;450000;600000;Curtainsider;SCHMITZ CARGOBULL;;;Тейково
SDP 27;https://auto.ru/trailer/used/sale/krone/sdp_27/16679762-2b7dd782/;2005;620000;1500000;Curtainsider;KRONE;;;Тверь
SKO;https://auto.ru/trailer/used/sale/schmitz_cargobull/sko/16587312-36574937/;2015;3700000;450000;Refrigerator;SCHMITZ CARGOBULL;Транзит-Дон Краснодар;;Краснодар
;https://auto.ru/trailer/used/sale/meusburger/tentovanniy_polupricep/16568416-2722f517/;2014;1530000;;Curtainsider;MEUSBURGER;;;Тюмень
SCB;https://auto.ru/trailer/used/sale/schmitz_cargobull/scb/16708344-2e14faa9/;2013;2200000;;Refrigerator;SCHMITZ CARGOBULL;;;Благовещенск
SN24;https://auto.ru/trailer/used/sale/kogel/sn24/16669200-60a470b9/;2012;1249000;;Curtainsider;KOGEL;PRO АВТО;;Люберцы
SD;https://auto.ru/trailer/used/sale/krone/sd/16677898-b9a6d8ed/;2008;630000;499000;Curtainsider;KRONE;ТРАК ПЛАТФОРМА;;Люберцы
