price,vat_included,year,mileage,location,url,make,name,supplier,gear,hp,formula,cab
6850000,,2018,495702,Новониколаевский,https://auto.ru/artic/used/sale/scania/r_1/16618196-210a5ca9/,SCANIA,Scania R-Series,M7 TRUCK Казань,механическая,12,4x2,
7550000,Цена с НДС,2017,474000,Тверь,https://auto.ru/artic/used/sale/volvo/fh_tractor/16591244-19d43d52/,VOLVO,Volvo FH,,автоматическая,510,6x4,2-х местная с 2 спальными
3300000,,2016,600000,Москва,https://auto.ru/artic/used/sale/man/tgs/16569314-e2863cfc/,MAN,MAN TGS,АвтоБан,механическая,400,4x2,2-х местная с 2 спальными
4200000,,2016,620000,Москва,https://auto.ru/artic/used/sale/scania/p_1/16634898-85108fbe/,SCANIA,Scania P-series,АвтоБан,механическая,440,4x2,2-х местная с 1 спальным
3950000,Цена с НДС,2015,293967,Домодедово,https://auto.ru/artic/used/sale/scania/p_1/16599016-fac33512/,SCANIA,Scania P-series,"ООО""Трейд Моторс",механическая,440,4x2,2-х местная с 1 спальным
850000,,2003,1000000,Санкт-Петербург,https://auto.ru/artic/used/sale/scania/p_1/16627342-f5397f56/,SCANIA,Scania P-series,ЦКТ,механическая,330,4x2,2-х местная с 1 спальным
1000000,,2002,1300000,Смоленск,https://auto.ru/artic/used/sale/mercedes/actros_t/16638792-ae5b19e0/,MERCEDES,Mercedes-Benz Actros,,полуавтоматическая,430,4x2,2-х местная с 2 спальными
780000,,2003,1225288,Москва,https://auto.ru/artic/used/sale/iveco/stralis_tractor/16619846-71a5403b/,IVECO,IVECO Stralis,M7 TRUCK Москва Юг,автоматическая,430,4x2,2-х местная с 2 спальными
1200000,,2001,1500000,Приозерск,https://auto.ru/artic/used/sale/man/tga_1/16638178-12db4625/,MAN,MAN TGA,,механическая,410,4x2,2-х местная с 2 спальными
690000,,2004,454928,Люберцы,https://auto.ru/artic/used/sale/freightliner/columbia/16625716-9a3b70fb/,FREIGHTLINER,Freightliner Columbia,ТРАК ПЛАТФОРМА,механическая,515,6x4,2-х местная с 2 спальными
2255000,,2005,1403649,Чёрная Грязь,https://auto.ru/artic/used/sale/volvo/fh_tractor/16562022-912eba67/,VOLVO,Volvo FH,M7 TRUCK Москва,автоматическая,459,4x2,2-х местная с 2 спальными
1690000,,2008,990000,Сертолово,https://auto.ru/artic/used/sale/iveco/stralis_tractor/16635906-bf07783a/,IVECO,IVECO Stralis,Автоцентр Коммерческого Транспорта,механическая,451,6x2,2-х местная с 2 спальными
750000,,2007,1089744,Москва,https://auto.ru/artic/used/sale/renault/premium_tractor/15561844-bb25d94b/,RENAULT,Renault Premium,GROSS AUTO,механическая,380,4x2,2-х местная с 1 спальным
1389000,,2008,1182643,Москва,https://auto.ru/artic/used/sale/volvo/fm_tractor/16616894-1f7588ee/,VOLVO,Volvo FM,GROSS AUTO,автоматическая,400,4x2,2-х местная с 1 спальным
3950000,,2015,299038,Домодедово,https://auto.ru/artic/used/sale/scania/p_1/15908870-5c84eb2d/,SCANIA,Scania P-series,"ООО""Трейд Моторс",механическая,440,4x2,2-х местная с 1 спальным
4750000,,2017,452000,Сертолово,https://auto.ru/artic/used/sale/iveco/stralis_tractor/16637178-886d312e/,IVECO,IVECO Stralis,Автоцентр Коммерческого Транспорта,автоматическая,460,4x2,2-х местная с 2 спальными
4750000,,2016,463057,Санкт-Петербург,https://auto.ru/artic/used/sale/mercedes/actros_t/16545076-f205cb1a/,MERCEDES,Mercedes-Benz Actros,МБ тракс СПб,автоматическая,408,6x4,2-х местная с 1 спальным
