Site;Benefit;Make;link;Year;Supplier;VehicleType;Price 1;Price;Mileage;VATIncluded
drom.ru;52;KAMAZ;https://spec.drom.ru/ekaterinburg/truck/truck-tractor/sedelnyj-tjagach-kamaz-5490-s5-2016-g-v-87067832.html;2016;Global Truck Sales;Truck;2279510;1490000;;
drom.ru;57;MAZ;https://spec.drom.ru/krasnoyarsk/truck/truck-tractor/tjagach-sedelnyj-maz-85584289.html;2017;;Truck;2521811;1600000;;
drom.ru;56;KAMAZ;https://spec.drom.ru/naberezhnye-chelny/truck/truck-tractor/kamaz-43118-sedelnyj-tjagach-77316117.html;2019;;Truck;4978053;3189000;;
drom.ru;62;SCANIA;https://spec.drom.ru/syktyvkar/truck/truck-tractor/scania-p440-6x4-2016-g-v-tjagach-84598693.html;2016;;Truck;4854155;2990000;;
drom.ru;17;KAMAZ;https://spec.drom.ru/moskva/truck/truck-tractor/gazo-dizelnyj-kamaz-5490-neo-2018-86102999.html;2018;М7 ТРАК;Truck;4206160;3575000;;
drom.ru;162;MAN;https://spec.drom.ru/irkutsk/truck/truck-tractor/sedelnyj-tjagach-lesovoz-84939527.html;2016;;Truck;4719261;1800000;;
drom.ru;46;KAMAZ;https://spec.drom.ru/tulun/truck/truck-tractor/prodaetsja-tjagach-kamaz-53504-46-84505678.html;2015;;Truck;2847182;1950000;;
drom.ru;33;MAN;https://spec.drom.ru/khabarovsk/truck/truck-tractor/man-tgs-33.480-86284192.html;2017;ООО ЛК Сименс Финанс;Truck;5348565;4000000;;
drom.ru;44;KAMAZ;https://spec.drom.ru/miass/truck/truck-tractor/sedelnyj-tjagach-kamaz-43118-6h6-spalnoe-mesto-83474682.html;2017;;Truck;3986932;2750000;;
drom.ru;46;KAMAZ;https://spec.drom.ru/perm/truck/truck-tractor/sedelnyj-tjagach-kamaz-65116-66429851.html;2018;TECHSPECKAM, ООО;Truck;4528664;3100000;;
drom.ru;16;MAN;https://spec.drom.ru/orenburg/truck/truck-tractor/tjagach-shacman-shakman-sx42586v324-6h4-77160200.html;2019;;Truck;6304757;5400000;;
drom.ru;53;MAN;https://spec.drom.ru/moskva/truck/truck-tractor/sedelnyj-tjagachfoton-auman-est-a-1846-amt-86689419.html;2017;;Truck;5045977;3290000;;
drom.ru;13;KAMAZ;https://spec.drom.ru/moskva/truck/truck-tractor/kamaz-5490-s5-tjagach-b-u-2019-g-45-516-km-85910861.html;2019;TruckMag;Truck;4487301;3970000;;
