url,comment
https://auto.ru/artic/used/sale/kamaz/65225_t/16504178-ea77b599/,"Продажа от юридического лица (первый и единственный собственник), цена указана с НДС. Тягач куплен в декабря 2017 года в лизинг, в работе с 2018 г. Своевременное обслуживание у официального дилера. Причина продажи - покупка новой техники необходимой для исполнения договорных обязательств. Дополнительных вложений не требует, готов к эксплуатации. Тягач полностью оборудован для эксплуатации в районах Крайнего Севера. Комплектация и характеристики: 1. Ошинковка - двускатная; 2. Двигатель (дизель) - 400 лс; 3. Экологический класс - ЕВРО 5; 4. Модель КПП - ZF 16S1820; 5. Система топливоподачи - Common Rail; 6. Грузоподъемность - 33,36 т.; 7. Седельно-сцепное устройство - JOST; 8. Диаметр шкворня - 2 дюйма; 9. Шины - 12.00 R20; 10. Блокировка - межколесная, межосевая; 11. Топливный бак - 550 литров. Дополнительно установлено: 1. Тахограф; 2. Видеорегистраторы по кругу кабины и в салоне; 3. Сухой фен; 4. Предпусковой жидкостной подогреватель; 5. Рация MegaJet 330; 6. Утепление кабины; 7. Самосвальный вариант рамы. Дополнительно к тягачу можно приобрести полуприцеп УЗСТ 2018 г. грузоподъемностью 44 тн, также подготовленные к работе в условиях Крайнего Севера в следующей комплектации: 1. Погрузочная длина - 12,5 м, ширина 2,45 м.; 2. Съемные борты; 3. Раздвижные коники (высота 1,5 м., ширина до 3,47 м); 4. Дополнительные топливные баки объемом 2 200 л. уже установлены; 3 оси L1. 5. Подвеска рессорно-балансирная; 6. Ошиновка односкатная. Цена продажи полуприцепа с НДС - обсуждается дополнительно."
https://auto.ru/artic/used/sale/scania/p_1/16575762-3d5e28fe/,"Официальный дилер. С НДС. ADR - ПАКЕТ. Scania P 440   ТОПЛИВНАЯ  СИСТЕМА PDE ОДИН ВЛАДЕЛЕЦ.  ЕВРО 5.  МАКСИМАЛЬНОЙ КОМПЛЕКТАЦИИ  (440 л.с, холодильник, автономный отопитель, 1 спальное место, МКПП, круиз-контроль, кондиционер, полный электропакет, топливная система PDE, хорошая резина и мн. другое). САМЫЕ ВЫГОДНЫЕ УСЛОВИЯ ПО ФИНАНСИРОВАНИЮ. ЛИЗИНГ. КРЕДИТ. TRADE IN. ВОЗМОЖНА РАССРОЧКА ЛЮБАЯ ФОРМА ОПЛАТЫ: НАЛИЧНАЯ / БЕЗНАЛИЧНАЯ. НДС. ПОЛНОЕ СОПРОВОЖДЕНИЕ СДЕЛКИ В КРОТЧАЙШИЕ СРОКИ. ЭКСПЛУАТАЦИЯ - 01.2018г. ВЫПУСК - 11.2017г"
https://auto.ru/artic/used/sale/maz/5440/16364998-37668172/,"Продам седельный тягач МАЗ 544029-1420-031. ПОЛНОСТЬЮ обслужен !!! Один владелец. Оригинал ПТС на руках. Юридически чистый. ЗВОНИТЕ !!! 1) Год: 2016 (на учете с 12 мая 2017-го) 2) Пробег, км: 571 743 3) Двигатель: Weichai WP12 - 11.6 л, 430 л/с (Евро 4) 4) Масса без нагрузки, кг: 7 950 5) Дополнительно: Коробка ZF16. 2 автономных отопителя. 2 спальных места. Пневмосиденья водителя и пассажира. Механическая регулировка подвески (нет проблем с пультом). Обмен не предлагать. Цена за наличку. Осмотр в Уфе. ЗВОНИТЕ !!!"
https://auto.ru/artic/used/sale/kamaz/65206/16226306-9c658a05/,"Седельный тягач КАМАЗ 65206-Т5 2015 г.в. В отличном состоянии. Место осмотра: г. Набережные Челны Код: 2467238 Цена указана с НДС! M7truck - это сертифицированные грузовики, седельные тягачи, спецтехника и прицепная техника с пробегом, которым Вы можете доверять! Любая форма оплаты: нал/безнал. Возможна продажа в кредит, лизинг! Более 25 партнеров: Сбербанк, ВТБ, Европлан, Сбербанк Лизинг, ВЭБ-лизинг, Элемент-лизинг и др. В наличии более 300 единиц седельных тягачей, грузовиков, самосвалов, спецтехники Scania, Volvo, DAF, Mercedes, MAN, MAZ, KAMAZ и прицепной техники: изотермы, рефрижераторы, тентованные, контейнеровозы Krone, Schmitz, Kogel и др. с минимальными пробегами после ТО, готовых к дальнейшей работе. Звоните! Подберем технику под любые транспортные задачи!"
https://auto.ru/artic/used/sale/scania/p_1/16596990-f0a5c525/,"Официальный дилер. С НДС. ADR - ПАКЕТ. Scania P 440 ТОПЛИВНАЯ СИСТЕМА PDE ОДИН ВЛАДЕЛЕЦ. ЕВРО 5. МАКСИМАЛЬНОЙ КОМПЛЕКТАЦИИ (440 л.с, холодильник, автономный отопитель, 1 спальное место, МКПП, круиз-контроль, кондиционер, полный электропакет, топливная система PDE, хорошая резина и мн. другое). САМЫЕ ВЫГОДНЫЕ УСЛОВИЯ ПО ФИНАНСИРОВАНИЮ. ЛИЗИНГ. КРЕДИТ. TRADE IN. ВОЗМОЖНА РАССРОЧКА ЛЮБАЯ ФОРМА ОПЛАТЫ: НАЛИЧНАЯ / БЕЗНАЛИЧНАЯ. НДС. ПОЛНОЕ СОПРОВОЖДЕНИЕ СДЕЛКИ В КРОТЧАЙШИЕ СРОКИ. ЭКСПЛУАТАЦИЯ - 01.2018г. ВЫПУСК - 11.2017г"
https://auto.ru/artic/used/sale/maz/5440/16588818-ae96710c/,"2017г.в. Состояние отличное. Один хозяин и водитель. Возили трубу. Пробега 190т. Км. Наличные, безнал без НДС и с НДС (цена с ндс). Возможна покупка в лизинг/кредит. Возможен обмен на легковой автомобиль с вашей доплатой ( цена на обмен 1 800 000)"
https://auto.ru/artic/used/sale/renault/t_series/16633270-dcddced6/,"Автомобиль полностью исправен . Покупался в Вольво восток Домодедово. Продаётся по договору уступки лизинга , только за наличный расчёт . Остаток лизинга 1.300.000 срок 26 месяцев. Ежемесячный платёж 51.000 . Продаётся в связи с прекращением деятельности предприятия. С Марта 2020 не эксплуатировался . ТО все вовремя у официального дилера . Ранее эксплуатировался со шторным прицепом . "
https://auto.ru/artic/used/sale/kamaz/65116/16616990-bfa1c786/,"- КамАЗ 65116-А4, 2015 г.в., 330 тыс.км., работа без перегруза по трассе (масловоз), по тахографу, платону, геолакации, один хозяин, добросовестный водитель, автошины - почти новые, ПТС в наличии, можно с НДС от организации (тогда +20% к цене)."
https://auto.ru/artic/used/sale/kamaz/53504/16583924-e5d53b62/,Автомобиль полностью исправен.ТО производилось своевременно .С перегрузом не ездил.. За машину не стыдно! Хорошая альтернатива новому авто. Возможна продажа с П/П НЕФАЗ 93341-07 2011г. грузоподьемность 32 тн.  Цена за сцепку 3100000. Возможна прожажа с НДС
https://auto.ru/artic/used/sale/daf/xf_series/16606372-d6105afb/,"Даф 2017г. Пробег реальный.смотрите фото, ходил без перегруза, под скотовозом, резина свежая, при 500т км, менялись тормозные диски, колодки и.т.д. замена масла каждые 35т км.состояние отличное, отвязан, не гоняли, за машиной ухаживали.. все вопросы по телефону. Цена 4 200 000₽"
