Model,URL,Year,Price,Mileage,VehicleType,Make,Supplier,VATIncluded,Location,Price,confidence
SDP 27,https://auto.ru/trailer/used/sale/krone/sdp_27/16402208-8991b292/,2007,735000,,Curtainsider,KRONE,Global Truck Sales Екатеринбург,,Екатеринбург,715094.70338,180570.78678
S24,https://auto.ru/trailer/used/sale/kogel/s24/16619562-bf9561ac/,2019,2809676,2000,Curtainsider,KOGEL,,,Екатеринбург,1984543.48996,288481.62766
SCB,https://auto.ru/trailer/used/sale/schmitz_cargobull/scb/16606162-8eee848f/,2008,999999,1000000,Curtainsider,SCHMITZ CARGOBULL,,,Лебедянь,733732.18755,194922.86792
SKO,https://auto.ru/trailer/used/sale/schmitz_cargobull/sko/16639838-25d6bf5d/,2018,4400000,315000,Refrigerator,SCHMITZ CARGOBULL,,,Жуковский,4215500.82116,489665.89661
SDR 27,https://auto.ru/trailer/used/sale/krone/sdr_27/16557926-cdc1bf5c/,2008,1150000,,Refrigerator,KRONE,,,Москва и Московская область,1637526.36836,495812.01314
SKO,https://auto.ru/trailer/used/sale/schmitz_cargobull/sko/16653816-66059cfb/,2018,4820000,,Refrigerator,SCHMITZ CARGOBULL,ClassTrucks,,Москва,4363655.38375,674691.25613
SN24,https://auto.ru/trailer/used/sale/kogel/sn24/16499400-fd447fd2/,2016,1750000,575000,Platform,KOGEL,ТРАНСАЛЬЯНС Москва,Цена с НДС,Солнечногорск,1756382.8736,211401.89845
SCS,https://auto.ru/trailer/used/sale/schmitz_cargobull/scs/16081320-75ce3f15/,2012,950000,,Curtainsider,SCHMITZ CARGOBULL,"ООО ""Трак""",,Екатеринбург,1083790.9509,255973.14381
SDP 27,https://auto.ru/trailer/used/sale/krone/sdp_27/16507116-8affd7bb/,2000,240000,220000,Platform,KRONE,,,Калининград,530343.61306,178212.68291
Profi Liner,https://auto.ru/trailer/used/sale/krone/profi_liner/16482322-1e0baecd/,2008,880000,,Curtainsider,KRONE,M7 TRUCK Набережные Челны,,Набережные Челны,738016.54386,188427.52053
S01,https://auto.ru/trailer/used/sale/schmitz_cargobull/s01/16366722-e7a2bbf3/,2005,550000,,Curtainsider,SCHMITZ CARGOBULL,PRO АВТО,,Люберцы,656557.53163,171301.58242
SKO,https://auto.ru/trailer/used/sale/schmitz_cargobull/sko/16640090-c185e77f/,2017,4640000,,Refrigerator,SCHMITZ CARGOBULL,ClassTrucks,,Тосно,4245168.68554,603268.58292
