ProfSupplier;Gear;HP;Formula;VehicleType;URL;Price;Year;Mileage;Location;Supplier;Make;Model;CabSeats;CabBeds
True;;;;Curtainsider;https://auto.ru/trailer/used/sale/krone/sd/16395566-97edeef6/;2200000;2018;10000;Чёрная Грязь;M7 TRUCK Москва;KRONE;SD;;
True;;;;Curtainsider;https://auto.ru/trailer/used/sale/kogel/s24/16226668-a462573e/;1650000;2017;;Москва;M7 TRUCK Москва Юг;KOGEL;S24;;
True;;;;Refrigerator;https://auto.ru/trailer/used/sale/krone/krone/16330598-ccbc8824/;3903000;2016;;Тосно;ClassTrucks;KRONE;Krone;;
True;;;;Refrigerator;https://auto.ru/trailer/used/sale/schmitz_cargobull/sko/16328934-fa209dd3/;3865000;2017;410000;Смоленск;ГРИН ЛАЙН;SCHMITZ CARGOBULL;SKO;;
True;;;;Curtainsider;https://auto.ru/trailer/used/sale/krone/sd/16343086-25c3909a/;1820000;2017;;Кимовск;Юнион КРОНЕ Кимовск;KRONE;SD;;
False;;;;Curtainsider;https://auto.ru/trailer/used/sale/kaessbohrer/kaessbohrer/16382940-9947fc87/;1530000;2016;;Тула;;KASSBOHRER;Kassbohrer;;
True;;;;Platform;https://auto.ru/trailer/used/sale/krone/sd/16022828-e0eb06e1/;1820000;2016;;Кимовск;Юнион КРОНЕ Кимовск;KRONE;SD;;
True;;;;Refrigerator;https://auto.ru/trailer/used/sale/schmitz_cargobull/sko/16372884-f1d9c207/;3700000;2016;152000;Каменск-Шахтинский;Мега-Транзит;SCHMITZ CARGOBULL;SKO;;
True;;;;Refrigerator;https://auto.ru/trailer/used/sale/schmitz_cargobull/sko/16364988-be343782/;3960000;2017;;Румянцево;СГМ - ГРУПП;SCHMITZ CARGOBULL;SKO;;
True;;;;Refrigerator;https://auto.ru/trailer/used/sale/schmitz_cargobull/sko/16036554-4ccc8a8c/;4300000;2018;300;Смоленск;ООО 'РЕД СТАР' МАЗ Смоленск;SCHMITZ CARGOBULL;SKO;;
True;;;;Platform;https://auto.ru/trailer/used/sale/kogel/s24/16344982-49de819b/;1731000;2018;150000;Санкт-Петербург;M7 TRUCK Санкт-Петербург;KOGEL;S24;;
True;;;;Refrigerator;https://auto.ru/trailer/used/sale/krone/sd/16282526-b9e6a013/;3850000;2017;;Кимовск;Юнион КРОНЕ Кимовск;KRONE;SD;;
True;;;;Curtainsider;https://auto.ru/trailer/used/sale/meusburger/tentovanniy_polupricep/15827750-3c7c3c41/;1475000;2015;720000;Нижний Новгород;M7 TRUCK Нижний Новгород;MEUSBURGER;Тентованный полуприцеп;;
True;;;;Refrigerator;https://auto.ru/trailer/used/sale/schmitz_cargobull/sko/16337154-d2ee7941/;4315000;2017;;Москва;ClassTrucks;SCHMITZ CARGOBULL;SKO;;
True;;;;Curtainsider;https://auto.ru/trailer/used/sale/krone/profi_liner/16371504-598dede7/;1835000;2017;350000;Новониколаевский;M7 TRUCK Казань;KRONE;Profi Liner;;
True;;;;Curtainsider;https://auto.ru/trailer/used/sale/krone/sd/16387716-d35d27b3/;2130000;2018;75000;Дубровки;Триера Трак;KRONE;SD;;
True;;;;Curtainsider;https://auto.ru/trailer/used/sale/krone/sd/16226186-ce53c6ca/;1800000;2016;;Екатеринбург;ООО 'Трак';KRONE;SD;;
True;;;;Curtainsider;https://auto.ru/trailer/used/sale/krone/sd/15985648-f46e164d/;1830000;2017;80000;Санкт-Петербург;ПикАвто;KRONE;SD;;
True;;;;Refrigerator;https://auto.ru/trailer/used/sale/krone/krone/16293412-577eae16/;3900000;2017;138000;Екатеринбург;ООО 'Трак';KRONE;Krone;;
True;;;;Refrigerator;https://auto.ru/trailer/used/sale/schmitz_cargobull/sko/16366086-f32f1bc3/;4315000;2017;;Москва;ClassTrucks;SCHMITZ CARGOBULL;SKO;;
False;;;;Curtainsider;https://auto.ru/trailer/used/sale/schmitz_cargobull/s01/15663150-ce153361/;1450000;2015;380000;Ува;;SCHMITZ CARGOBULL;S01;;
True;;;;Curtainsider;https://auto.ru/trailer/used/sale/krone/sd/16334330-f3cab422/;1720000;2016;100000;Москва;M7 TRUCK Москва Юг;KRONE;SD;;
