Тип ТС;Марка;Модель;Год выпуска;Цена поставщика;Регион склада;URL авто;Пробег;Тип КПП;Колесная формула;Мощность двигателя;Сидений;Спальных мест;Поставщик;Наша расчетная цена;Выгода;Рекомендация;Мин. аванс;Лизинговый платеж 0% / 48 мес.;Comment;Качество верификации;Верификация;Федеральный округ;Цена с НДС
Тягач;MAN;TGX;2018;5500000;Ростов-на-Дону;https://auto.ru/artic/used/sale/man/tgx/15880917-750ce43f/;160000;MT;4x2;440;2;1;;4810000;-690000;Цена завышена - можно поторговаться;20;176000;;;;ЮФО;
Тягач;МАЗ;6430;2010;1850000;Сыктывкар;https://auto.ru/artic/used/sale/maz/6430/16314446-be9fbc49/;400000;MT;6x4;412;2;2;;1480000;-370000;Цена завышена - можно поторговаться;40;;;;;;
Тягач;DAF;CF-series;2002;1300000;Тверь;https://auto.ru/artic/used/sale/daf/cf_series_1/16533826-d8fdd9b3/;1347785;MT;4x2;340;2;1;;1260000;-40000;;10;;;;;ЦФО;
Тягач;КамАЗ;5490;2016;2050000;Кимовск;https://auto.ru/artic/used/sale/kamaz/5490/16456354-642c47e3/;240000;MT;4x2;401;2;1;Юнион КРОНЕ Кимовск;1890000;-160000;Цена завышена - можно поторговаться;20;;;;;ЦФО;
Тягач;Volvo;FM;2010;3775000;Воронеж;https://auto.ru/artic/used/sale/volvo/fm_tractor/16182090-9d26e064/;182000;MT;4x2;400;;;;1760000;-2015000;Цена завышена - можно поторговаться;120;;;;;ЦФО;
Тягач;Volvo;FM;2008;1199000;Великий Новгород;https://auto.ru/artic/used/sale/volvo/fm_tractor/16469476-976979ba/;1390000;MT;4x2;389;2;2;;1920000;721000;Горячая цена! Срочно брать!;0;;;;;СЗФО;
Тягач;DAF;XF105;2009;2043000;Москва;https://auto.ru/artic/used/sale/daf/xf105/16509818-e9272995/;1052184;MT;4x2;460;2;2;ГРУЗ СОЮЗ;2300000;257000;Горячая цена! Срочно брать!;0;;;;;ЦФО;
Тягач;DAF;XF105;2007;1720000;Москва;https://auto.ru/artic/used/sale/daf/xf105/16534392-9b85034a/;1880000;MT;4x2;460;2;2;SGM-GROUP;2040000;320000;Горячая цена! Срочно брать!;0;;;;;ЦФО;
Тягач;Renault;Premium;2008;1390000;Тула;https://auto.ru/artic/used/sale/renault/premium_tractor/16275984-da83120e/;720000;MT;4x2;380;2;1;;1160000;-230000;Цена завышена - можно поторговаться;30;;;;;ЦФО;
Тягач;MAN;TGA;2008;1230000;Новочебоксарск;https://auto.ru/artic/used/sale/man/tga_1/16267384-f2ade9f1/;1000040;MT;4x2;480;2;1;;1550000;320000;Горячая цена! Срочно брать!;0;;;;;;
Тягач;Volvo;FH;2007;2100000;Москва;https://auto.ru/artic/used/sale/volvo/fh_tractor/16547876-362be35b/;1300000;AT;4x2;440;2;2;;2030000;-70000;;10;;;;;ЦФО;
Тягач;Renault;Premium;2002;800000;Волгоград;https://auto.ru/artic/used/sale/renault/premium_tractor/16368816-5d712b55/;920000;MT;4x2;412;2;2;;890000;90000;Горячая цена! Срочно брать!;0;;;;;ЮФО;
Тягач;КамАЗ;5490 NEO;2017;3300000;Тимашевск;https://auto.ru/artic/used/sale/kamaz/5490_neo/16569228-1e2c552c/;320000;MT;;400;2;1;;2490000;-810000;Цена завышена - можно поторговаться;40;106000;;;;;
Тягач;DAF;CF-series;2002;1100000;Абинск;https://auto.ru/artic/used/sale/daf/cf_series_1/16338292-6e5cb77a/;1100000;MT;;430;2;2;;1770000;670000;Горячая цена! Срочно брать!;0;;;;;;
Тягач;Scania;R-Series;2014;2800000;Набережные Челны;https://auto.ru/artic/used/sale/scania/r_1/16425672-f4de3fb2/;1032000;AT;4x2;400;2;2;Камавтокомплект-Трак;3660000;860000;Горячая цена! Срочно брать!;0;;;;ok;ПФО;Цена с НДС
Тягач;МАЗ;5432;2002;180000;Совхоз Татарстан;https://auto.ru/artic/used/sale/maz/5432/16110282-6f227b68/;200000;MT;4x2;240;3;1;;280000;100000;Горячая цена! Срочно брать!;0;;;;;;
Тягач;Scania;G-series;2014;6500000;Чебоксары;https://auto.ru/artic/used/sale/scania/g/16609443-34d445c5/;1000000;AT;4x2;441;2;2;;3730000;-2770000;Цена завышена - можно поторговаться;80;;;;;ПФО;
Тягач;DAF;XF105;2009;2600000;Энгельс;https://auto.ru/artic/used/sale/daf/xf105/16596786-3743dd92/;996000;MT;4x2;410;2;2;;2230000;-370000;Цена завышена - можно поторговаться;30;;;;;;
Тягач;Renault;Premium;2013;3000000;Казань;https://auto.ru/artic/used/sale/renault/premium_tractor/16548226-a54b1532/;599539;MT;6x4;460;2;2;;2950000;-50000;;10;;;;;ПФО;
Тягач;DAF;XF105;2014;3750000;Тула;https://auto.ru/artic/used/sale/daf/xf105/16109416-35cd8ff0/;600000;MT;4x2;460;2;2;;3210000;-540000;Цена завышена - можно поторговаться;30;;;;;ЦФО;
Тягач;МАЗ;5440;2012;550000;Иваново;https://auto.ru/artic/used/sale/maz/5440/16574248-6bd501e3/;500000;MT;4x2;327;2;2;;1120000;570000;Горячая цена! Срочно брать!;0;;;;;ЦФО;
Тягач;MAN;TGA;2012;2800000;Ставрополь;https://auto.ru/artic/used/sale/man/tga_1/16403330-2da30794/;1000000;MT;;430;2;2;;2900000;100000;;10;;;;;СКФО;
Тягач;КамАЗ;65225;2010;2400000;Набережные Челны;https://auto.ru/artic/used/sale/kamaz/65225_t/16436496-e1238de2/;55000;MT;6x6;360;2;1;Автосалон на Мензелинском тракте;1640000;-760000;Цена завышена - можно поторговаться;60;;;;;ПФО;
Тягач;МАЗ;6430;2009;1400000;Ноябрьск;https://auto.ru/artic/used/sale/maz/6430/15983990-0b3a6f12/;450000;MT;6x4;397;2;2;;1360000;-40000;;10;;;;;;
Тягач;Mercedes-Benz;Actros;2000;550000;Брянск;https://auto.ru/artic/used/sale/mercedes/actros_t/16447470-7688a319/;1550000;AT;4x2;394;2;2;;1230000;680000;Горячая цена! Срочно брать!;0;;;;;ЦФО;
Тягач;DAF;XF105;2010;2500000;Новосибирск;https://auto.ru/artic/used/sale/daf/xf105/16088376-90f3b54e/;800000;AT;4x2;460;2;1;СибТракСкан;2370000;-130000;Цена завышена - можно поторговаться;20;;;;;СФО;
