Тип ТС;Марка;Модель;Год выпуска;Цена поставщика;Регион склада;URL авто;Пробег;Тип КПП;Колесная формула;Мощность двигателя;Сидений;Спальных мест;Поставщик;Наша расчетная цена;Выгода;Рекомендация;Мин. аванс;Лизинговый платеж 0% / 48 мес.;Федеральный округ;Цена с НДС;Comment;Качество верификации;Верификация
Тягач;Renault;Magnum;2005;1650000;Брянск;https://auto.ru/artic/used/sale/renault/magnum_ae/16678312-2629e660/;1000000;MT;;480;2;2;;1350000;-300000;Цена завышена - можно поторговаться;30;;ЦФО;;;;
Тягач;Scania;2-Series;2002;1150000;Тамбов;https://auto.ru/artic/used/sale/scania/2___series/16648468-7118e69a/;1690000;MT;4x2;420;2;2;;1310000;160000;Горячая цена! Срочно брать!;0;;ЦФО;;;;
Тягач;Mercedes-Benz;Actros;2002;550000;Сафоново;https://auto.ru/artic/used/sale/mercedes/actros_t/16244846-160a124b/;120000;AT;4x2;430;2;1;;1060000;510000;Горячая цена! Срочно брать!;0;;;;;;
Тягач;FREIGHTLINER;Century Class;2000;1180000;Омск;https://auto.ru/artic/used/sale/freightliner/century_class/16037724-7ede8b4c/;1500000;AT;6x4;500;2;2;;980000;-200000;Цена завышена - можно поторговаться;30;;СФО;;;;
Тягач;MAN;TGA;2005;1950000;Пенза;https://auto.ru/artic/used/sale/man/tga_1/16591648-45a2a4a0/;700000;;;409;2;2;;1420000;-530000;Цена завышена - можно поторговаться;50;;ПФО;;;;
Тягач;Scania;G-series;2011;2200000;Ижевск;https://auto.ru/artic/used/sale/scania/g/16280834-59a58863/;1230000;MT;4x2;379;2;2;;2390000;190000;Горячая цена! Срочно брать!;0;;ПФО;;;;
Тягач;МАЗ;5440;2011;501000;Кулебаки;https://auto.ru/artic/used/sale/maz/5440/16321554-ff593f39/;588200;MT;4x2;410;2;2;;1130000;629000;Горячая цена! Срочно брать!;0;;;;;;
Тягач;DAF;95XF;2002;480000;Москва и Московская область;https://auto.ru/artic/used/sale/daf/xf95/16720312-1438d9a7/;300000;MT;4x2;330;2;2;;1550000;1070000;Горячая цена! Срочно брать!;0;;ЦФО;;;;
Тягач;DAF;95XF;2002;2000000;Ростов-на-Дону;https://auto.ru/artic/used/sale/daf/xf95/16269352-308f61a8/;30000;MT;4x2;430;2;2;;1630000;-370000;Цена завышена - можно поторговаться;30;;ЮФО;;;;
Тягач;DAF;CF-series;2007;2500000;Тверь;https://auto.ru/artic/used/sale/daf/cf_series_1/16715425-a7ac4698/;1100000;MT;4x2;380;2;2;;1970000;-530000;Цена завышена - можно поторговаться;40;;ЦФО;;;;
Тягач;Volvo;FM;2017;5250000;Новоалексеевское;https://auto.ru/artic/used/sale/volvo/fm_tractor/16673572-9b300621/;565385;AT;4x2;410;2;1;VOLVO TRUCKS РОССИЯ в Свердловской области;5670000;420000;Горячая цена! Срочно брать!;0;168000;УФО;Цена с НДС;;;ok
Тягач;Renault;T-Series;2018;6400000;Челябинск;https://auto.ru/artic/used/sale/renault/t_series/16710840-b7a88220/;531000;AT;4x2;449;2;2;;5330000;-1070000;Цена завышена - можно поторговаться;30;205000;УФО;;;;
Тягач;МАЗ;5440;2013;620000;Липецк;https://auto.ru/artic/used/sale/maz/5440/16666600-690e3506/;490000;MT;4x2;310;2;1;;960000;340000;Горячая цена! Срочно брать!;0;;ЦФО;;;;
Тягач;МАЗ;6430;2011;1350000;Екатеринбург;https://auto.ru/artic/used/sale/maz/6430/16318336-1d1d75a2/;100000;;;410;;;;760000;-590000;Цена завышена - можно поторговаться;90;;УФО;;;;
Тягач;Volvo;FH;2010;1600000;Старый Оскол;https://auto.ru/artic/used/sale/volvo/fh_tractor/16686594-18edf335/;1732000;MT;4x2;460;2;2;;2390000;790000;Горячая цена! Срочно брать!;0;;ЦФО;;;;
Тягач;Scania;P-series;2017;4850000;Москва;https://auto.ru/artic/used/sale/scania/p_1/16575762-3d5e28fe/;285000;MT;4x2;440;2;1;БорнТракСервис;5350000;500000;Горячая цена! Срочно брать!;0;155000;ЦФО;Цена с НДС;Официальный дилер  С НДС  ADR   ПАКЕТ  Scania P 440   ТОПЛИВНАЯ  СИСТЕМА PDE ОДИН ВЛАДЕЛЕЦ   ЕВРО 5   МАКСИМАЛЬНОЙ КОМПЛЕКТАЦИИ   440 л с  холодильник  автономный отопитель  1 спальное место  МКПП  круиз контроль  кондиционер  полный электропакет  топливная система PDE  хорошая резина и мн  другое   САМЫЕ ВЫГОДНЫЕ УСЛОВИЯ ПО ФИНАНСИРОВАНИЮ  ЛИЗИНГ  КРЕДИТ  TRADE IN  ВОЗМОЖНА РАССРОЧКА ЛЮБАЯ ФОРМА ОПЛАТЫ  НАЛИЧНАЯ   БЕЗНАЛИЧНАЯ  НДС  ПОЛНОЕ СОПРОВОЖДЕНИЕ СДЕЛКИ В КРОТЧАЙШИЕ СРОКИ  ЭКСПЛУАТАЦИЯ   01 2018г  ВЫПУСК   11 2017г;0,5208;ok
Тягач;КамАЗ;65116;2017;2400000;Екатеринбург;https://auto.ru/artic/used/sale/kamaz/65116/16552188-4a77eb2f/;149000;MT;6x4;300;3;1;;2790000;390000;Горячая цена! Срочно брать!;0;77000;УФО;;Продам Камаз 65116 А4  в отличном состоянии  С прицепом или без  Машина полностью обслужена  проблем нет  Более подробно по телефону  Рассмотрю любой вид продажи  звоните  пишите  Торг конечно есть;0,42781;unclear
Тягач;Scania;4-Series;2007;850000;Верхнеяркеево;https://auto.ru/artic/used/sale/scania/l/16718880-495bd9b6/;1130;MT;4x2;340;2;1;;1360000;510000;Горячая цена! Срочно брать!;0;;;;;;
Тягач;МАЗ;5440;2010;510000;Серов;https://auto.ru/artic/used/sale/maz/5440/16616558-b08fc22d/;1000000;MT;4x2;330;2;2;;880000;370000;Горячая цена! Срочно брать!;0;;;;;;
Тягач;FREIGHTLINER;Columbia;2003;850000;Люберцы;https://auto.ru/artic/used/sale/freightliner/columbia/16669848-beb9a489/;1172000;MT;6x4;432;2;2;ТРАК ПЛАТФОРМА;1010000;160000;Горячая цена! Срочно брать!;0;;ЦФО;;;;
Тягач;КамАЗ;54115;2003;650000;Челябинск;https://auto.ru/artic/used/sale/kamaz/54115/16296044-64681363/;30000;MT;6x4;260;2;1;;620000;-30000;;10;;УФО;;;;
