Тип ТС;Марка;Модель;Год выпуска;Цена поставщика;Регион склада;URL авто;Пробег;Тип КПП;Колесная формула;Мощность двигателя;Сидений;Спальных мест;Поставщик;Наша расчетная цена;Выгода;Рекомендация;Мин. аванс;Лизинговый платеж 0% / 48 мес.;Comment;Качество верификации;Верификация;Федеральный округ
Тягач;Volvo;FM;2007;2800000;Санкт-Петербург;https://auto.ru/artic/used/sale/volvo/fm_tractor/16375846-f270ac22/;450000;MT;8x4;400;2;1;;2760000;-40000;;10;;;;;СЗФО
Тягач;IVECO;EuroCargo;2000;650000;Иваново;https://auto.ru/artic/used/sale/iveco/eurocargo_tractor/16174208-75759827/;1200000;AT;;430;2;2;;1020000;370000;Горячая цена! Срочно брать!;0;;;;;ЦФО
Тягач;КамАЗ;5490;2015;2000000;Кимовск;https://auto.ru/artic/used/sale/kamaz/5490/15920186-8261e1ee/;230000;MT;4x2;401;2;1;Юнион КРОНЕ Кимовск;1610000;-390000;Цена завышена - можно поторговаться;30;;;;;ЦФО
Тягач;Scania;R-Series;2011;3100000;Красноярск;https://auto.ru/artic/used/sale/scania/r_1/16534294-2c068e3b/;1147000;MT;6x4;500;2;1;;3460000;360000;Горячая цена! Срочно брать!;0;;;;;СФО
Тягач;МАЗ;5440;2008;1100000;Брянск;https://auto.ru/artic/used/sale/maz/5440/16498320-bebef8a8/;600000;MT;4x2;390;2;2;;800000;-300000;Цена завышена - можно поторговаться;50;;;;;ЦФО
Тягач;МАЗ;5432;2006;230000;Самара;https://auto.ru/artic/used/sale/maz/5432/16527080-14f415e7/;250000;MT;4x2;230;2;1;;330000;100000;Горячая цена! Срочно брать!;0;;;;;ПФО
Тягач;MAN;TGA;2001;1990000;Екатеринбург;https://auto.ru/artic/used/sale/man/tga_1/16340776-d637e3b1/;1900000;MT;4x2;410;2;2;;840000;-1150000;Цена завышена - можно поторговаться;150;;;;;УФО
Тягач;Volvo;FH;2008;2150000;Нагорный;https://auto.ru/artic/used/sale/volvo/fh_tractor/16234434-4bad2e87/;1260000;MT;4x2;400;2;2;;2000000;-150000;Цена завышена - можно поторговаться;20;;;;;
Тягач;МАЗ;5440;2013;1100000;Самара;https://auto.ru/artic/used/sale/maz/5440/15991334-0473fe57/;150000;MT;4x2;310;2;1;;960000;-140000;Цена завышена - можно поторговаться;20;;;;;ПФО
Тягач;Volvo;FH;2018;5880000;Тольятти;https://auto.ru/artic/used/sale/volvo/fh_tractor/16513870-3bb90639/;565000;AT;4x2;420;2;2;;5510000;-370000;Цена завышена - можно поторговаться;20;188000;;;;ПФО
Тягач;МАЗ;5440;2008;800000;Серпухов;https://auto.ru/artic/used/sale/maz/5440/16409768-b7b634f1/;140000;MT;4x2;292;;;;530000;-270000;Цена завышена - можно поторговаться;60;;;;;
Тягач;МАЗ;6422;2001;500000;Красноярск;https://auto.ru/artic/used/sale/maz/6422/10609216-39e18f0e/;100000;MT;6x4;330;2;2;;420000;-80000;Цена завышена - можно поторговаться;30;;;;;СФО
Тягач;IVECO;Stralis;2013;1950000;Домодедово;https://auto.ru/artic/used/sale/iveco/stralis_tractor/16573812-1824c5e7/;1159334;MT;4x2;420;2;1;"ООО""Трейд Моторс";1920000;-30000;;10;;;;;ЦФО
Тягач;Mercedes-Benz;Actros;2012;2990000;Подольск;https://auto.ru/artic/used/sale/mercedes/actros_t/16563056-1a8587df/;575000;AT;6x4;400;2;1;;2710000;-280000;Цена завышена - можно поторговаться;20;;;;;ЦФО
Тягач;MAN;TGX;2011;2200000;Владимир;https://auto.ru/artic/used/sale/man/tgx/16562444-c280841f/;1400000;MT;4x2;400;2;2;;2220000;20000;;10;;;;;ЦФО
Тягач;Scania;G-series;2013;2750000;Новониколаевский;https://auto.ru/artic/used/sale/scania/g/16431448-9fd538ac/;1024000;MT;4x2;400;2;2;M7 TRUCK Казань;3170000;420000;Горячая цена! Срочно брать!;0;;;;;ПФО
Тягач;MAN;19;2001;1450000;Красноярск;https://auto.ru/artic/used/sale/man/19_1/15777498-1b2b262d/;10000;AT;4x2;410;2;2;;940000;-510000;Цена завышена - можно поторговаться;60;;;;;СФО
Тягач;МАЗ;5432;2001;450000;Пермь;https://auto.ru/artic/used/sale/maz/5432/16516664-161922e5/;150000;MT;4x2;330;;;;380000;-70000;Цена завышена - можно поторговаться;30;;;;;УФО
Тягач;Volvo;FH;2014;3800000;Санкт-Петербург;https://auto.ru/artic/used/sale/volvo/fh_tractor/15696517-c51785e7/;585;AT;4x2;460;2;2;Вираж;3450000;-350000;Цена завышена - можно поторговаться;20;;;;;СЗФО
Тягач;MAN;TGX;2008;2150000;Симферополь;https://auto.ru/artic/used/sale/man/tgx/16534390-e58fad10/;1150000;AT;4x2;440;2;2;;2040000;-110000;Цена завышена - можно поторговаться;20;;;;;КФО
Тягач;МАЗ;5440;2008;440000;Гуково;https://auto.ru/artic/used/sale/maz/5440/16369950-4f03bd1a/;680000;MT;4x2;397;2;2;;800000;360000;Горячая цена! Срочно брать!;0;;;;;
Тягач;MAN;TGA;2007;1350000;Москва;https://auto.ru/artic/used/sale/man/tga_1/16474732-e0591cf6/;1098503;MT;4x2;480;2;2;Трак-Сток;1640000;290000;Горячая цена! Срочно брать!;0;;;;;ЦФО
Тягач;Renault;Premium;2000;1100000;Тверь;https://auto.ru/artic/used/sale/renault/premium_tractor/16065772-2302b0fa/;1250000;MT;4x2;340;2;1;;670000;-430000;Цена завышена - можно поторговаться;70;;;;;ЦФО
Тягач;КамАЗ;6460;2010;920000;Великий Устюг;https://auto.ru/artic/used/sale/kamaz/6460/16547002-766980e2/;300000;MT;6x4;400;2;1;;1280000;360000;Горячая цена! Срочно брать!;0;;;;;
Тягач;Scania;R-Series;2015;3750000;Москва;https://auto.ru/artic/used/sale/scania/r_1/16587326-0d9fb976/;1077058;AT;4x2;400;2;2;;4050000;300000;Горячая цена! Срочно брать!;0;120000;;;;ЦФО
Тягач;MAN;TGS;2013;2500000;Чёрная Грязь;https://auto.ru/artic/used/sale/man/tgs/16558714-cb9b3002/;521471;MT;4x2;400;2;2;M7 TRUCK Москва;2820000;320000;Горячая цена! Срочно брать!;0;;;;;ЦФО
Тягач;Renault;Premium;2004;1050000;Волгоград;https://auto.ru/artic/used/sale/renault/premium_tractor/16459236-03a7794c/;1000000;MT;4x2;420;2;2;;1050000;0;;10;;;;;ЮФО
Тягач;DAF;CF-series;2007;1480000;Санкт-Петербург;https://auto.ru/artic/used/sale/daf/cf_series_1/16568370-1a9a93b1/;1300000;MT;4x2;430;2;1;;1830000;350000;Горячая цена! Срочно брать!;0;;;;;СЗФО
Тягач;DAF;XF105;2012;2700000;Нижний Новгород;https://auto.ru/artic/used/sale/daf/xf105/16274444-0e87a323/;1100000;MT;4x2;462;2;2;;2640000;-60000;;10;;;;;ПФО
Тягач;Renault;Magnum;2001;800000;Ярославль;https://auto.ru/artic/used/sale/renault/magnum_ae/16494688-03f2e1d8/;1360000;MT;4x2;440;2;1;;740000;-60000;Цена завышена - можно поторговаться;20;;;;;ЦФО
Тягач;MAN;TGS;2012;1900000;Санкт-Петербург;https://auto.ru/artic/used/sale/man/tgs/16566192-691f2d1b/;1150000;MT;4x2;400;2;1;;2150000;250000;Горячая цена! Срочно брать!;0;;;;;СЗФО
Тягач;FREIGHTLINER;Century Class;2002;1700000;Челябинск;https://auto.ru/artic/used/sale/freightliner/century_class/16533098-d29edfa0/;1300000;MT;6x4;379;2;2;;970000;-730000;Цена завышена - можно поторговаться;90;;;;;УФО
Тягач;МАЗ;6425;2005;610000;Иркутск;https://auto.ru/artic/used/sale/maz/6425/16567088-acc39727/;250000;MT;6x6;330;2;1;;950000;340000;Горячая цена! Срочно брать!;0;;;;;СФО
Тягач;Volvo;FH;2013;3000000;Котельники;https://auto.ru/artic/used/sale/volvo/fh_tractor/16499452-a6277c47/;1100000;MT;4x2;400;2;2;Globaltruck;2890000;-110000;;10;;;;;
Тягач;Scania;4-Series;2006;780000;Киржач;https://auto.ru/artic/used/sale/scania/l/16479984-e5815dc7/;980000;MT;4x2;340;2;1;;1220000;440000;Горячая цена! Срочно брать!;0;;;;;
Тягач;МАЗ;5440;2014;1050000;Орёл;https://auto.ru/artic/used/sale/maz/5440/16392428-f502292d/;341000;MT;4x2;410;2;2;;1690000;640000;Горячая цена! Срочно брать!;0;;;;;ЦФО
Тягач;Scania;R-Series;2004;1000000;Йошкар-Ола;https://auto.ru/artic/used/sale/scania/r_1/16160556-d434e527/;1083000;MT;4x2;480;2;2;;1560000;560000;Горячая цена! Срочно брать!;0;;;;;ПФО
Тягач;Mercedes-Benz;Axor;2012;1849000;Москва;https://auto.ru/artic/used/sale/mercedes/axor_t/16585088-ebc9db74/;977269;MT;4x2;401;2;1;Лаки Логистик;2050000;201000;Горячая цена! Срочно брать!;0;;;;;ЦФО
Тягач;INTERNATIONAL;ProStar;2011;2500000;Ставрополь;https://auto.ru/artic/used/sale/international/prostar/15397140-bca1b192/;750000;MT;6x4;450;2;2;;2930000;430000;Горячая цена! Срочно брать!;0;;;;;СКФО
Тягач;DAF;XF105;2009;1900000;Петрозаводск;https://auto.ru/artic/used/sale/daf/xf105/16497012-118a9cd7/;950000;AT;4x2;408;2;1;;2210000;310000;Горячая цена! Срочно брать!;0;;;;;СЗФО
