Тип ТС;Марка;Модель;Год выпуска;Цена поставщика;Регион склада;URL авто;Пробег;Тип КПП;Колесная формула;Мощность двигателя;Сидений;Спальных мест;Поставщик;Наша расчетная цена;Выгода;Рекомендация;Мин. аванс;Лизинговый платеж 0% / 48 мес.;Качество верификации;Верификация;Федеральный округ
Шторный;Тонар;9746;2017;1300000;Аксай;https://auto.ru/trailer/used/sale/tonar/9746/16520428-8d089a8e/;80000;;;;;;Русбизнесавто Ростов-на-Дону;1100000;-200000;Цена завышена - можно поторговаться;30;42000;;;
Рефрижератор;Krone;SD;2019;4990000;Калининград;https://auto.ru/trailer/used/sale/krone/sd/16477414-f95ba486/;59000;;;;;;;4670000;-320000;Цена завышена - можно поторговаться;20;160000;;;СЗФО
Рефрижератор;Schmitz Cargobull;SKO;2017;3690000;Москва;https://auto.ru/trailer/used/sale/schmitz_cargobull/sko/16297540-6863bf8b/;;;;;;;СГМ - ГРУПП;4250000;560000;Горячая цена! Срочно брать!;0;118000;0,4559;ok;ЦФО
Шторный;Schmitz Cargobull;S01;2017;1980000;Москва;https://auto.ru/trailer/used/sale/schmitz_cargobull/s01/16155428-c2f7f3f0/;103501;;;;;;АГТ-Трейдинг;1930000;-50000;;10;63000;;;ЦФО
Шторный;Krone;Profi Liner;2016;1840000;Москва;https://auto.ru/trailer/used/sale/krone/profi_liner/16002942-6fbf2758/;10000;;;;;;M7 TRUCK Москва Юг;1800000;-40000;;10;59000;;;ЦФО
Шторный;Krone;SD;2016;1990000;Дубровки;https://auto.ru/trailer/used/sale/krone/sd/16544000-b45f22d3/;280000;;;;;;Триера Трак;1800000;-190000;Цена завышена - можно поторговаться;20;64000;;;ЦФО
Шторный;Krone;SD;2017;1840000;Кимовск;https://auto.ru/trailer/used/sale/krone/sd/16522072-2190b1ec/;50;;;;;;Юнион КРОНЕ Кимовск;1950000;110000;Горячая цена! Срочно брать!;0;59000;;;ЦФО
Рефрижератор;Krone;SD;2018;3900000;Москва;https://auto.ru/trailer/used/sale/krone/sd/16503196-8e1aa3a3/;150000;;;;;;Mercedes-Benz Financial Services Rus;4140000;240000;Горячая цена! Срочно брать!;0;125000;;;ЦФО
Шторный;Schmitz Cargobull;SCB;2017;1950000;Тула;https://auto.ru/trailer/used/sale/schmitz_cargobull/scb/16521624-d061c6fb/;;;;;;;;1900000;-50000;;10;62000;;;ЦФО
Шторный;Schmitz Cargobull;S01;2016;1750000;Дубровки;https://auto.ru/trailer/used/sale/schmitz_cargobull/s01/16520790-9ec65c1e/;290000;;;;;;Триера Трак;1800000;50000;;10;56000;;;ЦФО
Рефрижератор;Schmitz Cargobull;SKO;2015;3349777;Москва;https://auto.ru/trailer/used/sale/schmitz_cargobull/sko/16486840-196142ee/;500000;;;;;;ТТ777;3290000;-59777;;10;107000;;;ЦФО
Бортовой;Kögel;S24;2019;2050000;;https://auto.ru/trailer/used/sale/kogel/s24/16524486-ab09514a/;30000;;;;;;Камион;1960000;-90000;;10;66000;;;
Шторный;Schmitz Cargobull;SCB;2018;1890000;Кимовск;https://auto.ru/trailer/used/sale/schmitz_cargobull/scb/16440170-1152c46b/;50;;;;;;Юнион КРОНЕ Кимовск;2010000;120000;Горячая цена! Срочно брать!;0;60000;1;unclear;ЦФО
Рефрижератор;Schmitz Cargobull;SKO;2017;4150000;Тосно;https://auto.ru/trailer/used/sale/schmitz_cargobull/sko/16543464-8f3feb87/;;;;;;;ClassTrucks;4250000;100000;;10;133000;;;СЗФО
Шторный;Schmitz Cargobull;SCS;2017;1990000;Москва;https://auto.ru/trailer/used/sale/schmitz_cargobull/scs/16432330-5b54be6e/;97000;;;;;;Шмитц Каргобулл Руссланд;1930000;-60000;;10;64000;;;ЦФО
Шторный;Тонар;9746;2017;1500000;Ангарск;https://auto.ru/trailer/used/sale/tonar/9746/16455590-f5f30023/;300000;;;;;;;1100000;-400000;Цена завышена - можно поторговаться;50;48000;;;СФО
Рефрижератор;Schmitz Cargobull;SKO;2017;4150000;Тосно;https://auto.ru/trailer/used/sale/schmitz_cargobull/sko/16537008-865bfeff/;;;;;;;ClassTrucks;4250000;100000;;10;133000;;;СЗФО
Рефрижератор;Kögel;S24;2018;3790000;Подольск;https://auto.ru/trailer/used/sale/kogel/s24/16460794-b6725f1a/;100000;;;;;;КомТоргТранс;4190000;400000;Горячая цена! Срочно брать!;0;121000;0,51834;ok;ЦФО
